sensor,forecast_horizon,horizon_seconds,last_observed_timestamp,forecast_timestamp,model,forecast_value
vib_x_rms,1min,60,2026-06-08 23:59:59,2026-06-09 00:00:59,Ridge,0.020455168550056323
vib_y_rms,1min,60,2026-06-08 23:59:59,2026-06-09 00:00:59,Ridge,0.01754631776674727
vib_z_rms,1min,60,2026-06-08 23:59:59,2026-06-09 00:00:59,Persistence,0.015573
mag_x,1min,60,2026-06-08 23:59:59,2026-06-09 00:00:59,Ridge,232.3226270843237
mag_y,1min,60,2026-06-08 23:59:59,2026-06-09 00:00:59,Ridge,227.9160696434601
mag_z,1min,60,2026-06-08 23:59:59,2026-06-09 00:00:59,Ridge,229.43690428800255
temperature,1min,60,2026-06-08 23:59:59,2026-06-09 00:00:59,Persistence,42.0
vib_x_rms,5min,300,2026-06-08 23:59:59,2026-06-09 00:04:59,Ridge,0.028040560198326438
vib_y_rms,5min,300,2026-06-08 23:59:59,2026-06-09 00:04:59,Ridge,0.02494321279483279
vib_z_rms,5min,300,2026-06-08 23:59:59,2026-06-09 00:04:59,Ridge,0.021954747291512495
mag_x,5min,300,2026-06-08 23:59:59,2026-06-09 00:04:59,Ridge,229.1546764009416
mag_y,5min,300,2026-06-08 23:59:59,2026-06-09 00:04:59,Ridge,237.58568203435715
mag_z,5min,300,2026-06-08 23:59:59,2026-06-09 00:04:59,Ridge,239.06669689778553
temperature,5min,300,2026-06-08 23:59:59,2026-06-09 00:04:59,Persistence,42.0
vib_x_rms,10min,600,2026-06-08 23:59:59,2026-06-09 00:09:59,Ridge,0.04483291503598506
vib_y_rms,10min,600,2026-06-08 23:59:59,2026-06-09 00:09:59,Ridge,0.045869371179089
vib_z_rms,10min,600,2026-06-08 23:59:59,2026-06-09 00:09:59,Ridge,0.02889522645409893
mag_x,10min,600,2026-06-08 23:59:59,2026-06-09 00:09:59,Ridge,228.99758135258173
mag_y,10min,600,2026-06-08 23:59:59,2026-06-09 00:09:59,Ridge,227.77206319322053
mag_z,10min,600,2026-06-08 23:59:59,2026-06-09 00:09:59,Ridge,226.98203957451938
temperature,10min,600,2026-06-08 23:59:59,2026-06-09 00:09:59,Persistence,42.0
