sensor,horizon,horizon_seconds,best_model,validation_MAE,validation_RMSE,validation_R2,test_MAE,test_RMSE,test_R2,matched_rows
vib_x_rms,1min,60,Ridge,0.03356559374836624,0.07742798186297459,-0.10490467244563062,0.003274910304587026,0.0048715701629649995,-4.191954324044805,50244
vib_y_rms,1min,60,Ridge,0.04124807316102279,0.10060175221322533,-0.24080800903964295,0.004019115966666114,0.006284602372625536,-3.2872084901769094,50244
vib_z_rms,1min,60,Persistence,0.012064165782141435,0.03138008929589097,-0.29542128866133965,0.0016630577152713282,0.002583239136172975,-1.0627020584040356,50244
mag_x,1min,60,Ridge,114.70211693739391,132.6683057943183,-0.007034581670619211,116.079870896868,133.68083374921898,-0.004384392166873807,50244
mag_y,1min,60,Ridge,114.95354734448453,132.92392254863788,-0.007604207858975087,113.98841592416449,131.9047387064053,-0.003741478392601083,50244
mag_z,1min,60,Ridge,114.41485264507892,132.15737766430698,-0.0072000299776515675,113.60735055599245,131.72579340490597,-0.003474341160601524,50244
temperature,1min,60,Persistence,0.09002312689531637,0.1420149253381828,0.8843417697193448,0.04570536256202729,0.09959858395146949,0.9329962010393382,50244
vib_x_rms,5min,300,Ridge,0.04281761740959272,0.09022140749361603,-0.49506841991051576,0.008104541973424674,0.010012089872434878,-16.240074160064204,33441
vib_y_rms,5min,300,Ridge,0.051376299920263026,0.11080190080774109,-0.49388159357035755,0.008411302886656858,0.010718040233894804,-10.365795486004963,33441
vib_z_rms,5min,300,Ridge,0.01677219538881523,0.03549500136997979,-0.6428852438090404,0.0036436380790369296,0.004585537303631488,-5.70983281374732,33441
mag_x,5min,300,Ridge,115.28341980733325,133.11993761390076,-0.006296041365247085,115.7802009033487,133.35813967930366,-0.0027062673887643385,33441
mag_y,5min,300,Ridge,114.62720913692056,132.61735140638672,-0.008274761376866335,114.77726200023416,132.40942000628894,-0.0004213367597578621,33441
mag_z,5min,300,Ridge,114.30329555518951,132.2335820892305,-0.015456957849934172,112.45067022388501,130.71666350940853,-0.003650570168866718,33441
temperature,5min,300,Persistence,0.21779043923444968,0.2878811748666342,0.4928793560149691,0.11276644491130151,0.2054115970048016,0.7154183840357308,33441
vib_x_rms,10min,600,Ridge,0.039711000221868444,0.08006125244429449,-0.19951068673016836,0.02119464602013727,0.022298418840740672,-101.44483070860748,52685
vib_y_rms,10min,600,Ridge,0.04501657278025124,0.0983891650642765,-0.1917132114546909,0.02326711290490922,0.02464646825083621,-66.21349970842894,52685
vib_z_rms,10min,600,Ridge,0.014576668047656479,0.030576758912338752,-0.2235733014343062,0.008400811610803001,0.009114524914618291,-25.005914263365632,52685
mag_x,10min,600,Ridge,114.91642944321413,132.72380560252034,-0.0063867923340876764,115.98107395595342,133.56064199160585,-0.0014272138912825305,52685
mag_y,10min,600,Ridge,115.00945948408952,132.8893717611434,-0.007678950112552929,113.83562310935592,131.74502416253816,-0.0011628925919437982,52685
mag_z,10min,600,Ridge,113.99049668992048,131.815774375829,-0.004890162784504826,113.71636580804697,131.91986369254514,-0.0040423170056251845,52685
temperature,10min,600,Persistence,0.2954961339010502,0.38067949737383805,0.10973154290273635,0.16789960692395292,0.27404425228947266,0.4998281843931466,52685
