ts,vib_x_rms,vib_y_rms,vib_z_rms,mag_x,mag_y,mag_z,temperature
2026-06-08 00:44:54,0.016575,0.013911,0.01462,158.116,230.51,253.456,46.49999976
2026-06-08 00:44:54,0.018412,0.014757,0.016936,75.908,294.084,390.67,46.4999998
2026-06-08 00:49:54,0.01424,0.013618,0.017997,228.382,193.466,298.48,46.99869057
2026-06-08 00:49:54,0.01403,0.014863,0.017822,303.618,178.15,399.714,46.99895246
2026-06-08 00:53:53,0.017329,0.015057,0.015838,208.012,439.698,372.918,47.2575344
2026-06-08 00:53:53,0.015008,0.014379,0.015757,262.99,171.724,44.31,47.25602752
2026-06-08 02:11:58,0.017844,0.015173,0.017115,55.272,127.694,75.222,46.95959755
2026-06-08 02:11:58,0.018663,0.013509,0.015501,55.286,221.214,292.95,46.96767804
2026-06-08 02:11:59,0.014765,0.013887,0.016228,332.458,145.922,35.252,46.97414243
2026-06-08 02:11:59,0.016588,0.014397,0.01761,453.026,89.71201,393.036,46.98345115
2026-06-08 03:22:03,0.018177,0.014152,0.016825,332.514,363.272,450.702,46.74972709
2026-06-08 03:22:03,0.016542,0.015771,0.019144,426.692,111.286,357.406,46.74978167
2026-06-08 03:33:08,0.014856,0.013305,0.01525,445.592,128.926,10.416,47.30403413
2026-06-08 03:33:08,0.015886,0.014966,0.013879,282.562,296.156,60.466,47.7432273
2026-06-08 03:33:16,0.016712,0.013177,0.014978,43.428,99.078,418.53,47.48689658
2026-06-08 03:33:16,0.017365,0.014367,0.014721,398.734,452.508,322.63,47.48362072
2026-06-08 03:40:33,0.01749,0.015136,0.015993,57.96,458.43,100.128,48.09997262
2026-06-08 03:40:33,0.018226,0.01538,0.01594,267.26,344.036,137.844,47.74996578
2026-06-08 03:40:46,0.017185,0.014317,0.015437,338.226,299.642,359.184,48.00628686
2026-06-08 03:40:46,0.014651,0.015219,0.016971,299.418,315.784,415.87,48.00502949
2026-06-08 03:41:14,0.015636,0.016161,0.0179,320.922,190.946,134.652,47.87608848
2026-06-08 03:41:14,0.01573,0.014146,0.018439,307.3,195.482,304.682,47.9076106
2026-06-08 03:41:47,0.016423,0.014176,0.018334,1.316,120.064,97.342,47.75093037
2026-06-08 03:41:47,0.016486,0.015486,0.017284,178.71,258.286,258.286,48.0507443
2026-06-08 03:42:15,0.014427,0.012796,0.01634,78.148,153.804,9.254001,47.99319281
2026-06-08 03:42:15,0.015144,0.013802,0.016684,19.39,192.22,161.266,47.99149101
2026-06-08 03:52:59,0.093508,0.102514,0.062855,355.796,338.114,35.336,47.00000343
2026-06-08 03:52:59,0.082868,0.106797,0.050258,242.228,297.724,39.004,47.00000274
2026-06-08 04:54:01,0.016304,0.015138,0.018548,133.308,68.32,277.914,46.54903453
2026-06-08 04:54:01,0.018685,0.016141,0.01589,319.214,260.4,260.582,46.62379316
2026-06-08 04:56:37,0.016581,0.014071,0.017387,272.258,178.626,286.692,46.50015542
2026-06-08 04:56:37,0.016057,0.014293,0.018237,245.546,411.656,321.286,46.75012434
2026-06-08 05:10:35,0.015885,0.013537,0.01487,437.584,272.888,337.61,47.01325471
2026-06-08 05:10:35,0.014955,0.014547,0.015797,20.832,339.164,341.488,47.01656839
2026-06-08 05:11:29,0.016303,0.01523,0.01787,396.452,266.196,161.784,47.28176177
2026-06-08 05:11:29,0.0162,0.013431,0.016852,187.838,221.088,201.712,47.27540942
2026-06-08 08:45:06,0.016999,0.015883,0.018886,72.982,419.804,359.058,46.48556891
2026-06-08 08:45:06,0.017057,0.016019,0.019236,329.77,295.75,292.6,46.48845513
2026-06-08 08:46:09,0.014808,0.015309,0.014525,391.426,159.572,43.4,46.95575033
2026-06-08 08:46:09,0.016412,0.014805,0.015779,412.944,300.622,167.524,46.96460027
2026-06-08 08:47:08,0.01642,0.015173,0.018703,222.138,168.616,357.84,47.33174771
2026-06-08 08:47:08,0.014709,0.013684,0.017709,83.468,445.088,30.142,47.86539817
2026-06-08 08:50:23,0.016871,0.014367,0.015829,431.466,134.05,233.324,48.20588605
2026-06-08 08:50:23,0.018433,0.013582,0.017523,457.814,191.884,171.682,48.61470884
2026-06-08 08:52:30,0.01595,0.014545,0.016544,74.508,401.156,419.552,48.50184216
2026-06-08 08:52:30,0.015564,0.012284,0.016365,14.112,6.538,405.076,48.50147373
2026-06-08 09:18:54,14.25494,2.838911,15.26794,365.498,36.96,274.036,48.55
2026-06-08 09:18:54,0.015678,0.013337,0.017615,377.02,214.886,240.982,49.364
2026-06-08 11:23:41,0.016722,0.015567,0.017199,160.608,230.3,250.348,48.01153029
2026-06-08 11:23:41,0.015777,0.01491,0.017507,229.138,396.592,419.118,48.07691287
2026-06-08 13:12:26,0.016521,0.018809,0.017298,414.862,450.562,434.098,45.75283732
2026-06-08 13:12:26,0.016867,0.017526,0.020156,182.63,175.308,243.544,45.75354665
2026-06-08 13:15:51,0.014621,0.015502,0.018346,59.668,182.546,253.442,45.69113276
2026-06-08 13:15:51,0.015827,0.016697,0.014603,75.68401,280.28,85.344,45.70290621
2026-06-08 14:35:43,0.018053,0.013508,0.015318,270.97,393.736,412.076,45.06107022
2026-06-08 14:35:43,0.016368,0.013981,0.016335,357.714,268.912,61.572,45.09885618
2026-06-08 15:38:51,0.013566,0.014154,0.017079,335.566,261.226,227.766,44.25000288
2026-06-08 15:38:51,0.016392,0.014887,0.017913,109.256,164.906,391.468,44.2500023
2026-06-08 15:39:57,0.016645,0.015173,0.014409,445.256,116.914,212.954,44.70332818
2026-06-08 15:39:57,0.016603,0.016823,0.016069,331.226,244.678,358.19,44.71266254
2026-06-08 15:39:57,0.017414,0.013931,0.015418,454.594,90.93,411.908,44.97013004
2026-06-08 15:40:37,0.015641,0.013295,0.015119,402.626,93.786,318.794,44.99948152
2026-06-08 15:40:37,0.016832,0.015587,0.018346,370.776,94.76601,129.374,44.99958521
2026-06-08 19:15:50,0.016553,0.012264,0.017662,175.966,190.33,199.626,42.5
2026-06-08 19:15:50,0.017212,0.014954,0.016745,101.906,329.07,60.676,42.5
2026-06-08 19:47:07,0.188695,0.172024,0.068837,332.402,449.526,161.532,43.1546003
2026-06-08 19:47:07,0.208018,0.208027,0.078834,138.516,139.286,349.916,43.12368024
2026-06-08 20:50:14,0.01364,0.014059,0.018322,298.998,144.144,397.124,42.8812061
2026-06-08 20:50:14,0.018126,0.013453,0.017352,345.534,329.476,196.672,42.90496488
