feature,importance,sensor
temperature_lag_5,0.013119944,mag_x
vib_z_rms_rollmean_60,0.011379714,mag_x
vib_y_rms_rollmean_15,0.011187348,mag_x
mag_x_rollstd_15,0.010877645,mag_x
temperature_rollmean_5,0.010759646,mag_x
vib_y_rms_rollmean_5,0.0107112825,mag_x
temperature_rollmean_60,0.01061852,mag_x
temperature_rollstd_30,0.010617453,mag_x
vib_z_rms_lag_1,0.010609706,mag_x
vib_z_rms_rollstd_30,0.01057944,mag_x
vib_x_rms_rollmean_30,0.010571236,mag_x
temperature_rollmean_30,0.010516622,mag_x
temperature_lag_60,0.0105030835,mag_x
vib_z_rms_rollstd_60,0.010499546,mag_x
vib_x_rms_rollmean_60,0.010492205,mag_x
vib_x_rms_lag_60,0.010479578,mag_x
mag_y_lag_1,0.010452283,mag_x
mag_z_rollmean_15,0.010444132,mag_x
vib_x_rms_rollstd_30,0.010424792,mag_x
time_sin,0.010418211,mag_x
vib_x_rms_lag_30,0.010403002,mag_x
vib_z_rms_rollmean_30,0.010401004,mag_x
mag_x_rollstd_5,0.01036314,mag_x
vib_x_rms_lag_1,0.010358353,mag_x
mag_y_rollstd_60,0.010348186,mag_x
vib_y_rms_lag_30,0.01032213,mag_x
vib_y_rms_rollstd_60,0.010316393,mag_x
vib_y_rms_lag_10,0.010274113,mag_x
temperature_rollstd_5,0.010244093,mag_x
temperature_rollstd_60,0.010225712,mag_x
temperature_rollstd_15,0.0102194175,mag_x
vib_z_rms_rollmean_5,0.010205966,mag_x
vib_x_rms_rollstd_5,0.010185898,mag_x
mag_x_rollmean_30,0.010173241,mag_x
vib_y_rms_rollstd_5,0.010130996,mag_x
mag_x_rollmean_15,0.010110295,mag_x
mag_z_lag_1,0.010106084,mag_x
mag_z_rollstd_60,0.010095759,mag_x
vib_x_rms_rollmean_5,0.0100897085,mag_x
mag_x_lag_30,0.010075289,mag_x
vib_x_rms_rollstd_60,0.01006949,mag_x
time_cos,0.0100661935,mag_x
temperature_lag_30,0.01005652,mag_x
mag_z_lag_2,0.010054921,mag_x
mag_y_lag_60,0.0100465305,mag_x
vib_z_rms_lag_2,0.010038004,mag_x
vib_z_rms_rollmean_15,0.010026474,mag_x
mag_y_rollmean_60,0.01002263,mag_x
vib_y_rms_rollmean_60,0.010014317,mag_x
vib_z_rms_rollstd_5,0.009998276,mag_x
mag_z_rollmean_30,0.009997995,mag_x
mag_y_lag_10,0.009995112,mag_x
mag_z_rollmean_60,0.009989764,mag_x
vib_z_rms_lag_10,0.009986412,mag_x
mag_y_rollmean_5,0.009953679,mag_x
temperature_lag_10,0.009946765,mag_x
vib_x_rms_lag_10,0.00992824,mag_x
mag_z_rollstd_15,0.009927701,mag_x
mag_x_rollstd_60,0.009887798,mag_x
mag_y_rollmean_15,0.009880868,mag_x
mag_y_lag_5,0.009878557,mag_x
vib_y_rms_lag_5,0.009876451,mag_x
vib_x_rms_lag_2,0.009846998,mag_x
vib_y_rms_rollstd_15,0.009840784,mag_x
mag_x_rollstd_30,0.009826328,mag_x
vib_x_rms_rollstd_15,0.009816806,mag_x
mag_x_rollmean_60,0.00980694,mag_x
mag_z_rollstd_5,0.009789869,mag_x
vib_y_rms_rollstd_30,0.009781741,mag_x
mag_y_rollmean_30,0.009735815,mag_x
mag_y_lag_2,0.009702856,mag_x
temperature_lag_1,0.0096849175,mag_x
vib_z_rms_lag_5,0.0096793445,mag_x
mag_x_lag_5,0.009656925,mag_x
mag_x_lag_2,0.009656519,mag_x
temperature_lag_2,0.009655129,mag_x
mag_y_rollstd_15,0.00965017,mag_x
vib_y_rms_lag_2,0.009637615,mag_x
mag_x_lag_60,0.009571176,mag_x
mag_x_lag_1,0.009524154,mag_x
vib_y_rms_rollmean_30,0.0094859665,mag_x
vib_y_rms_lag_60,0.009471592,mag_x
mag_z_rollmean_5,0.009461142,mag_x
mag_y_rollstd_30,0.009454067,mag_x
mag_z_lag_5,0.009445974,mag_x
mag_z_lag_10,0.009437223,mag_x
vib_y_rms_lag_1,0.009436752,mag_x
mag_z_rollstd_30,0.009435765,mag_x
mag_y_rollstd_5,0.00941148,mag_x
vib_x_rms_rollmean_15,0.009379296,mag_x
mag_z_lag_30,0.009334586,mag_x
mag_z_lag_60,0.00932071,mag_x
vib_z_rms_lag_60,0.009314366,mag_x
mag_y_lag_30,0.009300186,mag_x
vib_z_rms_rollstd_15,0.009296283,mag_x
mag_x_lag_10,0.009269539,mag_x
mag_x_rollmean_5,0.009168115,mag_x
vib_x_rms_lag_5,0.009103721,mag_x
vib_z_rms_lag_30,0.00906521,mag_x
temperature_rollmean_15,0.007990148,mag_x
