feature,importance,sensor
temperature_rollmean_5,0.011772931,mag_y
temperature_rollmean_15,0.01143485,mag_y
vib_x_rms_rollmean_30,0.011184444,mag_y
temperature_lag_30,0.0110697355,mag_y
temperature_lag_60,0.010953345,mag_y
vib_z_rms_rollstd_60,0.010863634,mag_y
vib_z_rms_lag_2,0.010826092,mag_y
temperature_rollstd_30,0.010801881,mag_y
mag_x_rollmean_30,0.010739695,mag_y
vib_z_rms_rollmean_60,0.010728447,mag_y
vib_z_rms_lag_30,0.010723353,mag_y
mag_x_rollstd_15,0.010661898,mag_y
vib_x_rms_lag_2,0.010656799,mag_y
vib_y_rms_lag_2,0.010606583,mag_y
vib_y_rms_rollstd_30,0.010581214,mag_y
vib_x_rms_rollmean_60,0.010536765,mag_y
vib_x_rms_rollstd_30,0.010513531,mag_y
vib_z_rms_lag_60,0.010454952,mag_y
mag_y_lag_30,0.010440133,mag_y
mag_z_rollmean_60,0.010389628,mag_y
vib_y_rms_rollstd_5,0.010376171,mag_y
temperature_rollmean_60,0.010376044,mag_y
mag_y_lag_5,0.01034741,mag_y
mag_y_rollmean_60,0.010326538,mag_y
temperature_rollmean_30,0.010303707,mag_y
time_sin,0.010286966,mag_y
mag_x_rollstd_60,0.010274948,mag_y
mag_x_lag_60,0.010263445,mag_y
mag_z_rollstd_15,0.010212442,mag_y
vib_y_rms_rollmean_5,0.01021182,mag_y
vib_y_rms_lag_1,0.010210628,mag_y
vib_x_rms_lag_5,0.010207348,mag_y
mag_x_rollstd_30,0.010177521,mag_y
vib_z_rms_rollstd_30,0.010169517,mag_y
vib_x_rms_lag_10,0.010159534,mag_y
vib_y_rms_rollmean_30,0.010149459,mag_y
vib_x_rms_rollmean_5,0.010145247,mag_y
mag_y_lag_10,0.010130381,mag_y
mag_z_lag_2,0.010114238,mag_y
vib_x_rms_lag_60,0.010065318,mag_y
vib_y_rms_lag_5,0.010008958,mag_y
vib_x_rms_rollstd_15,0.010002558,mag_y
vib_z_rms_rollmean_5,0.010001959,mag_y
mag_z_rollmean_15,0.0099894125,mag_y
vib_y_rms_lag_10,0.009986853,mag_y
mag_z_rollstd_5,0.009974656,mag_y
temperature_lag_2,0.0099729225,mag_y
vib_y_rms_rollmean_15,0.0099711055,mag_y
vib_x_rms_lag_1,0.009956597,mag_y
vib_z_rms_rollstd_15,0.009940724,mag_y
vib_z_rms_lag_1,0.009940569,mag_y
mag_z_lag_5,0.00993746,mag_y
vib_y_rms_rollstd_15,0.0099289315,mag_y
mag_z_rollstd_30,0.009911469,mag_y
mag_y_lag_2,0.00990645,mag_y
vib_y_rms_lag_30,0.009895175,mag_y
vib_y_rms_rollmean_60,0.009882217,mag_y
mag_x_lag_1,0.009858356,mag_y
temperature_rollstd_5,0.009852188,mag_y
mag_z_lag_30,0.009848264,mag_y
mag_y_rollmean_5,0.00983866,mag_y
vib_y_rms_lag_60,0.009831244,mag_y
mag_x_lag_5,0.009826813,mag_y
temperature_rollstd_60,0.009818481,mag_y
vib_z_rms_rollmean_30,0.009778369,mag_y
vib_z_rms_lag_5,0.009777088,mag_y
mag_y_rollmean_30,0.009773285,mag_y
mag_y_rollmean_15,0.009765476,mag_y
mag_y_rollstd_15,0.009757898,mag_y
vib_z_rms_lag_10,0.009741648,mag_y
mag_y_rollstd_60,0.009727175,mag_y
mag_x_lag_10,0.009704114,mag_y
mag_y_lag_60,0.009684736,mag_y
vib_x_rms_rollstd_60,0.009684561,mag_y
mag_x_rollmean_15,0.009684416,mag_y
mag_x_rollstd_5,0.009667988,mag_y
vib_z_rms_rollstd_5,0.009661247,mag_y
mag_x_lag_2,0.00965163,mag_y
mag_x_rollmean_60,0.009650712,mag_y
temperature_rollstd_15,0.009587853,mag_y
mag_z_lag_60,0.009571556,mag_y
vib_x_rms_lag_30,0.009560399,mag_y
mag_y_lag_1,0.009529249,mag_y
vib_x_rms_rollmean_15,0.0095031895,mag_y
mag_z_rollstd_60,0.009502418,mag_y
vib_y_rms_rollstd_60,0.009447074,mag_y
time_cos,0.00944235,mag_y
vib_z_rms_rollmean_15,0.0094318185,mag_y
mag_z_lag_10,0.009429263,mag_y
mag_z_lag_1,0.009393395,mag_y
mag_x_rollmean_5,0.009364162,mag_y
mag_z_rollmean_5,0.009344578,mag_y
temperature_lag_10,0.009321713,mag_y
vib_x_rms_rollstd_5,0.009296687,mag_y
mag_x_lag_30,0.009286457,mag_y
mag_y_rollstd_30,0.00918524,mag_y
mag_z_rollmean_30,0.009121112,mag_y
mag_y_rollstd_5,0.008940906,mag_y
temperature_lag_1,0.008916284,mag_y
temperature_lag_5,0.0085833175,mag_y
