feature,importance,sensor
temperature_rollmean_15,0.013718692,mag_z
temperature_rollmean_60,0.01133465,mag_z
temperature_rollmean_30,0.011196828,mag_z
mag_x_rollmean_60,0.011078687,mag_z
vib_y_rms_lag_30,0.010862654,mag_z
mag_x_rollstd_15,0.010821875,mag_z
vib_y_rms_rollmean_30,0.01074353,mag_z
vib_y_rms_rollmean_60,0.010739778,mag_z
temperature_lag_60,0.010721089,mag_z
mag_y_rollmean_30,0.010636206,mag_z
vib_y_rms_rollstd_15,0.010611569,mag_z
vib_x_rms_lag_1,0.010536545,mag_z
mag_y_lag_1,0.010524835,mag_z
mag_y_lag_10,0.010519805,mag_z
vib_x_rms_lag_2,0.0105074635,mag_z
vib_y_rms_rollmean_15,0.010444679,mag_z
mag_y_rollstd_30,0.010437376,mag_z
vib_z_rms_rollstd_30,0.010421864,mag_z
temperature_rollstd_60,0.010420153,mag_z
vib_x_rms_rollmean_30,0.010418131,mag_z
mag_y_rollstd_60,0.010347058,mag_z
vib_z_rms_rollmean_30,0.0103456145,mag_z
mag_y_rollstd_5,0.010339278,mag_z
mag_x_rollstd_5,0.010335559,mag_z
vib_y_rms_lag_10,0.0103349,mag_z
vib_z_rms_lag_1,0.010333995,mag_z
vib_z_rms_rollmean_15,0.01028739,mag_z
vib_x_rms_rollstd_60,0.010280075,mag_z
mag_x_rollstd_30,0.010267433,mag_z
mag_z_rollmean_60,0.010237097,mag_z
mag_z_rollmean_30,0.010218071,mag_z
time_cos,0.010194159,mag_z
mag_z_lag_10,0.010186585,mag_z
mag_y_rollmean_15,0.010183707,mag_z
temperature_rollstd_15,0.010165084,mag_z
temperature_rollstd_5,0.010134876,mag_z
vib_x_rms_lag_5,0.010106401,mag_z
mag_y_lag_60,0.0100943195,mag_z
mag_x_rollmean_30,0.010093286,mag_z
vib_y_rms_rollstd_30,0.010066888,mag_z
mag_z_rollstd_15,0.0100528775,mag_z
mag_z_lag_60,0.010052683,mag_z
vib_z_rms_lag_30,0.010044149,mag_z
time_sin,0.010036037,mag_z
mag_y_lag_2,0.010026916,mag_z
mag_z_rollmean_15,0.010022049,mag_z
vib_x_rms_lag_10,0.0100119095,mag_z
vib_z_rms_rollstd_5,0.009992676,mag_z
vib_z_rms_lag_5,0.009992287,mag_z
mag_y_rollstd_15,0.009985029,mag_z
vib_x_rms_rollmean_5,0.0099406205,mag_z
mag_x_rollstd_60,0.009925882,mag_z
mag_x_lag_2,0.0099022165,mag_z
mag_x_lag_30,0.009896365,mag_z
vib_x_rms_rollmean_15,0.00988621,mag_z
mag_x_lag_5,0.00988145,mag_z
mag_z_lag_30,0.009863916,mag_z
vib_z_rms_rollstd_60,0.009856773,mag_z
mag_z_lag_5,0.009841927,mag_z
vib_x_rms_rollstd_15,0.009829029,mag_z
mag_x_rollmean_5,0.009823712,mag_z
temperature_rollstd_30,0.0098146,mag_z
vib_z_rms_rollmean_5,0.00981364,mag_z
vib_z_rms_lag_60,0.009806563,mag_z
vib_x_rms_rollstd_5,0.009804417,mag_z
mag_y_rollmean_5,0.009799111,mag_z
mag_x_rollmean_15,0.009795502,mag_z
mag_z_rollstd_5,0.00978953,mag_z
mag_x_lag_1,0.009780179,mag_z
vib_z_rms_lag_2,0.009778167,mag_z
vib_z_rms_rollmean_60,0.009761724,mag_z
vib_z_rms_rollstd_15,0.009741617,mag_z
temperature_lag_10,0.00973694,mag_z
vib_y_rms_lag_60,0.009724865,mag_z
mag_x_lag_60,0.009718504,mag_z
mag_y_lag_30,0.009715354,mag_z
vib_x_rms_rollmean_60,0.00971165,mag_z
vib_y_rms_lag_2,0.009710541,mag_z
temperature_lag_30,0.009704286,mag_z
mag_z_rollstd_60,0.009568341,mag_z
mag_x_lag_10,0.009539728,mag_z
mag_z_rollstd_30,0.009539019,mag_z
temperature_lag_5,0.009522637,mag_z
mag_y_rollmean_60,0.00950922,mag_z
mag_z_rollmean_5,0.009484634,mag_z
vib_x_rms_rollstd_30,0.009475054,mag_z
vib_x_rms_lag_60,0.009461835,mag_z
vib_y_rms_lag_5,0.009451747,mag_z
mag_z_lag_1,0.009432819,mag_z
mag_z_lag_2,0.009424595,mag_z
vib_y_rms_rollstd_5,0.009419024,mag_z
vib_z_rms_lag_10,0.009397918,mag_z
vib_y_rms_rollmean_5,0.009294327,mag_z
vib_x_rms_lag_30,0.009218857,mag_z
vib_y_rms_rollstd_60,0.009149726,mag_z
vib_y_rms_lag_1,0.00905217,mag_z
mag_y_lag_5,0.008929724,mag_z
temperature_lag_1,0.008846594,mag_z
temperature_rollmean_5,0.008689999,mag_z
temperature_lag_2,0.007771938,mag_z
