feature,importance,sensor
temperature_lag_2,0.33727717,temperature
temperature_lag_5,0.26760972,temperature
temperature_lag_1,0.260545,temperature
temperature_rollmean_5,0.099634685,temperature
time_cos,0.016476927,temperature
temperature_rollmean_15,0.00818433,temperature
temperature_lag_30,0.0065455404,temperature
vib_x_rms_rollmean_30,0.00057206536,temperature
vib_x_rms_rollstd_30,0.00023223617,temperature
temperature_rollmean_30,0.00015090137,temperature
vib_x_rms_rollmean_15,0.00014782544,temperature
vib_z_rms_rollmean_30,0.00011992431,temperature
vib_z_rms_lag_10,0.00011565284,temperature
mag_z_rollstd_60,7.880862e-05,temperature
mag_x_lag_2,7.5640375e-05,temperature
vib_x_rms_rollmean_5,6.38256e-05,temperature
mag_x_rollmean_5,5.7726415e-05,temperature
vib_x_rms_lag_10,5.2633346e-05,temperature
vib_x_rms_lag_1,5.042795e-05,temperature
vib_z_rms_lag_5,5.0156148e-05,temperature
vib_x_rms_rollstd_15,4.8360354e-05,temperature
vib_y_rms_rollmean_15,4.5730838e-05,temperature
mag_y_lag_1,4.5580004e-05,temperature
mag_x_rollmean_15,4.2561354e-05,temperature
vib_x_rms_lag_60,4.123685e-05,temperature
vib_y_rms_rollmean_5,3.8819977e-05,temperature
vib_z_rms_rollstd_15,3.737547e-05,temperature
time_sin,3.7168455e-05,temperature
mag_z_rollmean_15,3.6675305e-05,temperature
temperature_rollstd_60,3.6497193e-05,temperature
vib_z_rms_rollstd_30,3.506e-05,temperature
vib_y_rms_rollmean_60,3.460729e-05,temperature
temperature_lag_10,3.4600864e-05,temperature
mag_y_rollstd_5,3.3627817e-05,temperature
mag_y_lag_10,3.2908596e-05,temperature
temperature_rollmean_60,3.2279757e-05,temperature
vib_y_rms_lag_30,3.1941534e-05,temperature
vib_y_rms_lag_2,3.1900956e-05,temperature
mag_z_rollstd_15,3.151839e-05,temperature
vib_z_rms_lag_60,3.1432493e-05,temperature
vib_z_rms_rollmean_60,3.1222782e-05,temperature
mag_z_rollmean_60,3.110106e-05,temperature
mag_y_lag_60,3.0642666e-05,temperature
mag_x_lag_1,3.0298654e-05,temperature
temperature_rollstd_15,2.923521e-05,temperature
mag_x_lag_60,2.7682257e-05,temperature
mag_x_rollmean_30,2.6869666e-05,temperature
vib_y_rms_rollstd_15,2.6702322e-05,temperature
mag_z_rollstd_30,2.6637226e-05,temperature
mag_z_rollmean_30,2.65135e-05,temperature
mag_x_rollstd_15,2.6232738e-05,temperature
mag_x_lag_5,2.6193105e-05,temperature
vib_x_rms_lag_5,2.6164811e-05,temperature
mag_y_rollmean_60,2.5730702e-05,temperature
vib_x_rms_rollmean_60,2.5480787e-05,temperature
vib_x_rms_rollstd_5,2.5289013e-05,temperature
mag_x_lag_10,2.513116e-05,temperature
mag_z_lag_30,2.4968194e-05,temperature
vib_z_rms_lag_2,2.4812634e-05,temperature
vib_x_rms_lag_30,2.3843553e-05,temperature
vib_y_rms_rollstd_5,2.348876e-05,temperature
vib_z_rms_rollstd_60,2.3258546e-05,temperature
vib_z_rms_lag_1,2.3040197e-05,temperature
mag_z_rollmean_5,2.2549802e-05,temperature
mag_y_rollstd_15,2.2512586e-05,temperature
temperature_rollstd_5,2.2213422e-05,temperature
temperature_lag_60,2.2114507e-05,temperature
mag_y_rollmean_15,2.164792e-05,temperature
vib_x_rms_lag_2,2.1434256e-05,temperature
mag_x_rollstd_30,2.1043625e-05,temperature
mag_x_rollstd_5,2.1003701e-05,temperature
mag_x_rollmean_60,2.0872585e-05,temperature
mag_y_rollstd_30,2.0339612e-05,temperature
temperature_rollstd_30,1.998433e-05,temperature
vib_x_rms_rollstd_60,1.933978e-05,temperature
mag_y_rollmean_5,1.9056752e-05,temperature
vib_y_rms_rollstd_30,1.8818846e-05,temperature
vib_y_rms_lag_60,1.8312185e-05,temperature
mag_z_lag_10,1.7173425e-05,temperature
vib_y_rms_lag_10,1.7172073e-05,temperature
vib_y_rms_rollstd_60,1.6787078e-05,temperature
vib_z_rms_rollmean_5,1.6637176e-05,temperature
vib_y_rms_rollmean_30,1.6554277e-05,temperature
mag_z_lag_60,1.624764e-05,temperature
vib_y_rms_lag_1,1.6049062e-05,temperature
mag_z_lag_5,1.5305208e-05,temperature
mag_x_rollstd_60,1.4879334e-05,temperature
mag_z_lag_1,1.3642098e-05,temperature
mag_z_rollstd_5,1.3244426e-05,temperature
vib_z_rms_rollstd_5,1.27621315e-05,temperature
vib_z_rms_lag_30,1.2664216e-05,temperature
mag_x_lag_30,1.2621145e-05,temperature
vib_z_rms_rollmean_15,1.1872789e-05,temperature
mag_y_lag_5,1.1630128e-05,temperature
mag_y_rollmean_30,1.162349e-05,temperature
mag_y_lag_2,1.1168831e-05,temperature
vib_y_rms_lag_5,1.1110763e-05,temperature
mag_y_rollstd_60,1.0997131e-05,temperature
mag_z_lag_2,9.825631e-06,temperature
mag_y_lag_30,7.326419e-06,temperature
