feature,importance,sensor
vib_y_rms_rollmean_5,0.2833379,vib_x_rms
vib_z_rms_lag_1,0.15414144,vib_x_rms
vib_x_rms_lag_1,0.11248739,vib_x_rms
vib_y_rms_lag_1,0.0844486,vib_x_rms
vib_y_rms_lag_2,0.04867811,vib_x_rms
vib_y_rms_rollmean_30,0.027050521,vib_x_rms
vib_z_rms_rollmean_60,0.020520026,vib_x_rms
vib_x_rms_lag_30,0.017824799,vib_x_rms
vib_x_rms_rollstd_5,0.017123956,vib_x_rms
mag_z_rollmean_5,0.015635125,vib_x_rms
vib_x_rms_rollmean_5,0.015572976,vib_x_rms
vib_x_rms_lag_2,0.014754111,vib_x_rms
mag_y_lag_5,0.013740032,vib_x_rms
vib_x_rms_rollmean_30,0.013351657,vib_x_rms
vib_z_rms_lag_2,0.012705098,vib_x_rms
mag_z_rollmean_15,0.010157973,vib_x_rms
vib_z_rms_rollmean_30,0.010063303,vib_x_rms
vib_z_rms_rollmean_5,0.009842991,vib_x_rms
mag_y_lag_10,0.009805548,vib_x_rms
vib_z_rms_lag_5,0.009144258,vib_x_rms
vib_x_rms_lag_5,0.008356219,vib_x_rms
mag_x_lag_30,0.007176528,vib_x_rms
vib_x_rms_rollstd_60,0.0066644503,vib_x_rms
vib_z_rms_rollstd_15,0.0058954544,vib_x_rms
vib_y_rms_rollmean_15,0.0055025136,vib_x_rms
vib_z_rms_lag_60,0.005473394,vib_x_rms
vib_y_rms_rollmean_60,0.004433499,vib_x_rms
vib_z_rms_rollmean_15,0.0044020494,vib_x_rms
mag_x_rollstd_5,0.0041961926,vib_x_rms
temperature_lag_2,0.0034201595,vib_x_rms
time_sin,0.0019913483,vib_x_rms
vib_x_rms_rollmean_60,0.001835026,vib_x_rms
mag_x_rollmean_30,0.0012824248,vib_x_rms
temperature_lag_30,0.001263012,vib_x_rms
temperature_lag_5,0.0012517544,vib_x_rms
vib_x_rms_rollmean_15,0.0012185416,vib_x_rms
time_cos,0.0011521735,vib_x_rms
temperature_lag_1,0.0010373694,vib_x_rms
mag_x_rollstd_15,0.0010123835,vib_x_rms
mag_x_rollstd_60,0.00096350675,vib_x_rms
temperature_rollstd_5,0.00088753103,vib_x_rms
temperature_lag_10,0.0008210698,vib_x_rms
mag_x_rollmean_60,0.0008196134,vib_x_rms
mag_z_lag_1,0.00080640364,vib_x_rms
vib_y_rms_lag_5,0.0007896244,vib_x_rms
vib_x_rms_rollstd_15,0.0007871475,vib_x_rms
mag_z_rollstd_60,0.0007774701,vib_x_rms
mag_z_rollmean_60,0.00077285327,vib_x_rms
vib_y_rms_lag_60,0.00072624907,vib_x_rms
temperature_rollmean_30,0.00069917535,vib_x_rms
vib_y_rms_rollstd_60,0.0006977474,vib_x_rms
mag_y_rollmean_60,0.0006919826,vib_x_rms
mag_z_rollstd_30,0.00067523896,vib_x_rms
mag_z_lag_60,0.0006363305,vib_x_rms
vib_y_rms_lag_30,0.000619756,vib_x_rms
mag_x_rollstd_30,0.0006065183,vib_x_rms
mag_y_lag_2,0.00059264904,vib_x_rms
mag_y_rollmean_15,0.000582182,vib_x_rms
vib_x_rms_lag_60,0.00057266926,vib_x_rms
mag_y_lag_30,0.0005716583,vib_x_rms
mag_z_rollstd_15,0.0005555744,vib_x_rms
vib_z_rms_rollstd_30,0.00054864236,vib_x_rms
mag_x_rollmean_5,0.0005328689,vib_x_rms
mag_x_lag_60,0.00052652153,vib_x_rms
mag_y_rollmean_30,0.0005185391,vib_x_rms
mag_y_rollstd_60,0.0005110096,vib_x_rms
mag_y_rollstd_30,0.0005059421,vib_x_rms
mag_y_rollmean_5,0.0005010484,vib_x_rms
mag_x_lag_1,0.0004985025,vib_x_rms
mag_z_rollmean_30,0.00049207837,vib_x_rms
temperature_rollstd_30,0.0004883643,vib_x_rms
mag_z_lag_10,0.00048808957,vib_x_rms
mag_y_lag_1,0.0004733491,vib_x_rms
mag_z_lag_2,0.00046755094,vib_x_rms
temperature_rollmean_60,0.0004667524,vib_x_rms
mag_z_lag_5,0.00046422007,vib_x_rms
mag_z_lag_30,0.00045774132,vib_x_rms
mag_x_rollmean_15,0.00045286925,vib_x_rms
vib_x_rms_lag_10,0.00045271864,vib_x_rms
temperature_rollstd_60,0.0004434208,vib_x_rms
vib_y_rms_rollstd_15,0.00043900873,vib_x_rms
vib_z_rms_lag_30,0.00042332785,vib_x_rms
vib_x_rms_rollstd_30,0.0004181586,vib_x_rms
temperature_rollmean_5,0.00041050767,vib_x_rms
mag_y_rollstd_5,0.00041049332,vib_x_rms
temperature_rollstd_15,0.00040546537,vib_x_rms
mag_y_rollstd_15,0.00040453722,vib_x_rms
mag_z_rollstd_5,0.0003820446,vib_x_rms
vib_y_rms_rollstd_30,0.00037772756,vib_x_rms
mag_x_lag_10,0.00037580464,vib_x_rms
mag_y_lag_60,0.00037230906,vib_x_rms
temperature_lag_60,0.00036648297,vib_x_rms
vib_z_rms_lag_10,0.0003502867,vib_x_rms
vib_y_rms_rollstd_5,0.00033694418,vib_x_rms
mag_x_lag_5,0.00032629346,vib_x_rms
mag_x_lag_2,0.00031897795,vib_x_rms
temperature_rollmean_15,0.0003158558,vib_x_rms
vib_z_rms_rollstd_60,0.00026789482,vib_x_rms
vib_y_rms_lag_10,0.00022706491,vib_x_rms
vib_z_rms_rollstd_5,0.00017726413,vib_x_rms
