feature,importance,sensor
vib_y_rms_lag_1,0.32864138,vib_y_rms
vib_x_rms_lag_1,0.28616473,vib_y_rms
vib_x_rms_lag_2,0.080904864,vib_y_rms
vib_y_rms_rollmean_5,0.0755471,vib_y_rms
vib_z_rms_lag_1,0.047415745,vib_y_rms
vib_y_rms_lag_2,0.031332098,vib_y_rms
vib_y_rms_rollmean_15,0.022309521,vib_y_rms
vib_z_rms_lag_5,0.011406074,vib_y_rms
vib_z_rms_lag_2,0.008030214,vib_y_rms
vib_x_rms_rollmean_5,0.00728913,vib_y_rms
vib_z_rms_rollstd_60,0.006794675,vib_y_rms
temperature_lag_2,0.0049597276,vib_y_rms
vib_x_rms_rollmean_15,0.0049006827,vib_y_rms
vib_x_rms_lag_5,0.0035713003,vib_y_rms
temperature_rollmean_30,0.002835553,vib_y_rms
vib_y_rms_rollmean_30,0.0023725494,vib_y_rms
vib_x_rms_rollmean_30,0.0021692335,vib_y_rms
temperature_rollmean_60,0.0019101317,vib_y_rms
vib_x_rms_lag_30,0.0018872384,vib_y_rms
mag_z_rollmean_5,0.0018767877,vib_y_rms
mag_z_rollmean_15,0.0017966506,vib_y_rms
vib_y_rms_rollmean_60,0.0017400546,vib_y_rms
temperature_lag_30,0.0017240064,vib_y_rms
vib_y_rms_rollstd_60,0.0017197849,vib_y_rms
vib_x_rms_rollstd_60,0.0017034047,vib_y_rms
vib_z_rms_rollstd_15,0.0016910749,vib_y_rms
mag_z_rollmean_60,0.0016454235,vib_y_rms
temperature_rollstd_30,0.0016306376,vib_y_rms
time_cos,0.0015747101,vib_y_rms
time_sin,0.0014418777,vib_y_rms
vib_z_rms_lag_10,0.0013947175,vib_y_rms
temperature_rollstd_60,0.0013224201,vib_y_rms
vib_z_rms_rollmean_30,0.0012865661,vib_y_rms
vib_x_rms_rollstd_5,0.0012691622,vib_y_rms
mag_z_rollmean_30,0.0012503007,vib_y_rms
mag_y_lag_5,0.0012363319,vib_y_rms
temperature_lag_10,0.0012081988,vib_y_rms
mag_y_rollstd_60,0.0011870423,vib_y_rms
mag_y_rollmean_60,0.0011844181,vib_y_rms
mag_x_rollmean_30,0.0011548094,vib_y_rms
mag_y_lag_10,0.0011434642,vib_y_rms
vib_z_rms_rollmean_60,0.0011412197,vib_y_rms
vib_z_rms_rollmean_5,0.0011326715,vib_y_rms
vib_x_rms_rollmean_60,0.0010965879,vib_y_rms
temperature_rollstd_5,0.0010925753,vib_y_rms
mag_z_lag_1,0.0010798895,vib_y_rms
mag_y_rollmean_15,0.000942641,vib_y_rms
mag_y_rollmean_30,0.00092609413,vib_y_rms
temperature_lag_1,0.00089589716,vib_y_rms
temperature_rollstd_15,0.0008777997,vib_y_rms
mag_y_rollstd_30,0.0008630097,vib_y_rms
mag_y_rollstd_5,0.0008491328,vib_y_rms
mag_x_rollmean_15,0.00084085367,vib_y_rms
vib_z_rms_rollmean_15,0.0008209194,vib_y_rms
vib_y_rms_lag_5,0.00080738973,vib_y_rms
mag_z_rollstd_30,0.00075815275,vib_y_rms
mag_z_lag_30,0.0007164102,vib_y_rms
mag_x_lag_5,0.00071020075,vib_y_rms
mag_x_rollmean_60,0.00070061645,vib_y_rms
mag_y_lag_2,0.0006755724,vib_y_rms
mag_z_rollstd_15,0.0006584763,vib_y_rms
mag_x_rollstd_60,0.0006530613,vib_y_rms
mag_z_rollstd_60,0.00064235437,vib_y_rms
mag_y_rollstd_15,0.0006410034,vib_y_rms
vib_z_rms_rollstd_5,0.0006250711,vib_y_rms
vib_y_rms_lag_60,0.0006240665,vib_y_rms
vib_x_rms_lag_60,0.0006133108,vib_y_rms
vib_y_rms_rollstd_15,0.0006115748,vib_y_rms
vib_x_rms_rollstd_15,0.00060727063,vib_y_rms
mag_z_rollstd_5,0.0006061693,vib_y_rms
vib_x_rms_lag_10,0.0005987673,vib_y_rms
mag_x_rollstd_5,0.00059666974,vib_y_rms
mag_y_rollmean_5,0.000594922,vib_y_rms
mag_x_rollmean_5,0.0005764117,vib_y_rms
mag_y_lag_60,0.00056994625,vib_y_rms
mag_x_lag_2,0.00055718835,vib_y_rms
mag_z_lag_10,0.00054129114,vib_y_rms
temperature_lag_60,0.00053822616,vib_y_rms
mag_y_lag_1,0.0005361253,vib_y_rms
mag_z_lag_60,0.00053158525,vib_y_rms
mag_x_lag_60,0.00053068623,vib_y_rms
mag_x_rollstd_15,0.00052663696,vib_y_rms
mag_z_lag_2,0.0005083992,vib_y_rms
vib_y_rms_rollstd_30,0.00050809275,vib_y_rms
vib_y_rms_rollstd_5,0.0004982839,vib_y_rms
mag_x_rollstd_30,0.00048818698,vib_y_rms
temperature_lag_5,0.000479224,vib_y_rms
vib_y_rms_lag_10,0.00046783747,vib_y_rms
mag_x_lag_30,0.00045922457,vib_y_rms
mag_x_lag_1,0.00044733906,vib_y_rms
vib_z_rms_lag_60,0.00043540468,vib_y_rms
mag_z_lag_5,0.00043094455,vib_y_rms
vib_z_rms_rollstd_30,0.00041271024,vib_y_rms
mag_x_lag_10,0.00040460174,vib_y_rms
vib_x_rms_rollstd_30,0.00040247725,vib_y_rms
mag_y_lag_30,0.00040189223,vib_y_rms
vib_z_rms_lag_30,0.0003300492,vib_y_rms
temperature_rollmean_15,0.0003126757,vib_y_rms
vib_y_rms_lag_30,0.00030928804,vib_y_rms
temperature_rollmean_5,0.00017120174,vib_y_rms
