feature,importance,sensor
vib_z_rms_lag_1,0.12575346,vib_z_rms
vib_y_rms_rollmean_5,0.0791811,vib_z_rms
vib_x_rms_lag_30,0.06082911,vib_z_rms
mag_z_rollmean_5,0.055343818,vib_z_rms
vib_y_rms_lag_1,0.053536676,vib_z_rms
vib_x_rms_rollmean_30,0.047011722,vib_z_rms
vib_x_rms_rollstd_5,0.04656104,vib_z_rms
mag_y_lag_5,0.043576133,vib_z_rms
vib_z_rms_lag_5,0.041173138,vib_z_rms
vib_x_rms_lag_1,0.04001429,vib_z_rms
vib_x_rms_lag_2,0.03854588,vib_z_rms
mag_y_lag_10,0.035754036,vib_z_rms
vib_x_rms_lag_5,0.034273125,vib_z_rms
vib_z_rms_rollmean_30,0.03381012,vib_z_rms
vib_z_rms_rollmean_60,0.030653354,vib_z_rms
mag_z_rollmean_15,0.030284926,vib_z_rms
vib_x_rms_rollstd_60,0.022522002,vib_z_rms
vib_y_rms_rollmean_30,0.020256178,vib_z_rms
vib_z_rms_lag_2,0.018842142,vib_z_rms
vib_z_rms_rollmean_15,0.014981768,vib_z_rms
vib_y_rms_rollmean_60,0.011746912,vib_z_rms
vib_z_rms_rollmean_5,0.008496392,vib_z_rms
vib_y_rms_rollmean_15,0.0071917404,vib_z_rms
temperature_lag_30,0.0066153114,vib_z_rms
vib_z_rms_rollstd_30,0.0054724263,vib_z_rms
temperature_lag_5,0.0039089657,vib_z_rms
vib_y_rms_rollstd_60,0.0027747247,vib_z_rms
temperature_lag_10,0.0025043911,vib_z_rms
mag_x_rollstd_15,0.00232793,vib_z_rms
vib_y_rms_lag_30,0.0022134641,vib_z_rms
vib_x_rms_rollstd_15,0.0021497412,vib_z_rms
mag_z_lag_5,0.0021154897,vib_z_rms
vib_x_rms_rollmean_15,0.0020516312,vib_z_rms
vib_y_rms_lag_5,0.002011098,vib_z_rms
mag_z_lag_30,0.001966224,vib_z_rms
vib_x_rms_rollmean_60,0.0019498942,vib_z_rms
vib_x_rms_rollmean_5,0.0019002014,vib_z_rms
temperature_rollmean_30,0.0018921178,vib_z_rms
temperature_lag_2,0.001871245,vib_z_rms
mag_z_rollstd_30,0.0018261289,vib_z_rms
mag_x_rollmean_60,0.0018203991,vib_z_rms
mag_z_rollstd_5,0.0017741515,vib_z_rms
temperature_rollstd_60,0.0017031784,vib_z_rms
temperature_rollmean_15,0.0016946485,vib_z_rms
vib_z_rms_lag_30,0.001662656,vib_z_rms
vib_y_rms_rollstd_15,0.0016575668,vib_z_rms
mag_y_rollmean_60,0.0016114379,vib_z_rms
mag_x_rollmean_30,0.0016049906,vib_z_rms
time_sin,0.0014921178,vib_z_rms
temperature_lag_1,0.0014830698,vib_z_rms
vib_z_rms_rollstd_15,0.0014417663,vib_z_rms
vib_x_rms_rollstd_30,0.0013532224,vib_z_rms
vib_y_rms_lag_2,0.0013499581,vib_z_rms
vib_z_rms_rollstd_60,0.0013031388,vib_z_rms
mag_y_rollstd_30,0.0012277407,vib_z_rms
mag_y_lag_30,0.001170182,vib_z_rms
mag_x_rollmean_5,0.0010783488,vib_z_rms
temperature_rollmean_60,0.0010398243,vib_z_rms
temperature_rollmean_5,0.0010333305,vib_z_rms
mag_z_rollmean_60,0.0009974727,vib_z_rms
mag_x_rollstd_5,0.0009957537,vib_z_rms
time_cos,0.000994923,vib_z_rms
vib_z_rms_lag_60,0.0009899986,vib_z_rms
mag_y_rollstd_60,0.0009779747,vib_z_rms
temperature_rollstd_15,0.00092332106,vib_z_rms
mag_z_lag_1,0.0009097298,vib_z_rms
temperature_rollstd_30,0.00087449513,vib_z_rms
mag_y_rollmean_15,0.00084522215,vib_z_rms
mag_x_lag_1,0.0008104003,vib_z_rms
mag_x_rollstd_30,0.0008005661,vib_z_rms
mag_x_rollstd_60,0.00079503196,vib_z_rms
mag_x_lag_60,0.0007561706,vib_z_rms
mag_z_lag_10,0.0007456358,vib_z_rms
mag_z_rollmean_30,0.0007445071,vib_z_rms
vib_z_rms_lag_10,0.0007050915,vib_z_rms
vib_x_rms_lag_60,0.00067043595,vib_z_rms
mag_z_rollstd_15,0.0006386709,vib_z_rms
vib_z_rms_rollstd_5,0.0006243606,vib_z_rms
mag_z_rollstd_60,0.00061834307,vib_z_rms
mag_y_lag_1,0.0006081627,vib_z_rms
mag_y_lag_2,0.00059428095,vib_z_rms
mag_x_lag_30,0.00058800884,vib_z_rms
mag_y_rollmean_5,0.00058554707,vib_z_rms
mag_x_lag_2,0.000558775,vib_z_rms
mag_x_lag_5,0.0005509405,vib_z_rms
mag_x_rollmean_15,0.0005401705,vib_z_rms
mag_y_lag_60,0.00052981504,vib_z_rms
mag_y_rollmean_30,0.0005108559,vib_z_rms
mag_z_lag_60,0.000500547,vib_z_rms
temperature_lag_60,0.00049869245,vib_z_rms
vib_y_rms_lag_10,0.00048283424,vib_z_rms
mag_y_rollstd_5,0.00047352465,vib_z_rms
mag_z_lag_2,0.00045484825,vib_z_rms
vib_x_rms_lag_10,0.0004501901,vib_z_rms
mag_y_rollstd_15,0.00043692283,vib_z_rms
vib_y_rms_rollstd_5,0.00041233998,vib_z_rms
temperature_rollstd_5,0.00040860623,vib_z_rms
vib_y_rms_lag_60,0.0004019342,vib_z_rms
mag_x_lag_10,0.00040011248,vib_z_rms
vib_y_rms_rollstd_30,0.00020297708,vib_z_rms
