sensor,horizon_samples,approx_horizon_seconds,best_baseline,best_RMSE,best_MAE,best_R2
vib_x_rms,1,1.0,Persistence,0.07215150781319733,0.0053983945499999995,0.40797980168417614
vib_x_rms,5,5.0,Persistence,0.015606011798696362,0.005509480400000001,0.9343800802106089
vib_x_rms,10,10.0,Persistence,0.020974955794678354,0.006535621066666667,0.8815517873083367
vib_x_rms,30,30.0,Persistence,0.07894423471323983,0.010834285300000001,0.2892892870124165
vib_x_rms,60,60.0,Persistence,0.08426995121027528,0.014810616450000001,0.19511098013956674
vib_x_rms,300,300.0,Persistence,0.09936157815856829,0.025688806950000004,-0.12340559265408246
vib_x_rms,600,600.0,RecentMean30,0.07883865445164964,0.02986787535666666,-0.6860809101515937
vib_y_rms,1,1.0,Persistence,0.020592614428978535,0.005583905750000001,0.9327129451773417
vib_y_rms,5,5.0,Persistence,0.02073786283392047,0.006635092499999999,0.9295538516083542
vib_y_rms,10,10.0,Persistence,0.027177072771692595,0.00773151085,0.8777087712691517
vib_y_rms,30,30.0,Persistence,0.046226301373688765,0.0124655388,0.6632228942213872
vib_y_rms,60,60.0,Persistence,0.05921128348075496,0.01737013985,0.4434474594844784
vib_y_rms,300,300.0,RecentMean30,0.08865439005787724,0.03137350339666667,-0.24924497775539534
vib_y_rms,600,600.0,RecentMean30,0.10156608952433842,0.03806828983333333,-0.7164489791395399
vib_z_rms,1,1.0,Persistence,0.07649974808391281,0.0036782743499999995,0.11556038947011726
vib_z_rms,5,5.0,Persistence,0.007766441862490828,0.0032398581,0.9252115902063139
vib_z_rms,10,10.0,Persistence,0.009637869752115582,0.0036254587333333335,0.8850602317660761
vib_z_rms,30,30.0,Persistence,0.07769707419286535,0.005802359149999999,0.08742094982653104
vib_z_rms,60,60.0,Persistence,0.07870832222961432,0.0073959626,0.06500618888473719
vib_z_rms,300,300.0,Persistence,0.08251260275207419,0.012197999300000002,-0.02899158583338335
vib_z_rms,600,600.0,RecentMean30,0.03788072434592922,0.013904731819444445,-0.751196045879764
mag_x,1,1.0,RecentMean30,134.47328729528232,116.02423382194999,-0.03395666443090595
mag_x,5,5.0,RecentMean30,134.8824602504364,116.00520203383444,-0.03214763976074786
mag_x,10,10.0,RecentMean30,134.51808361695097,116.07507502469889,-0.03642782372059861
mag_x,30,30.0,RecentMean30,134.06170790818186,115.48467961735668,-0.028218051519312004
mag_x,60,60.0,RecentMean30,134.45755417406906,115.8570488031989,-0.03928422854308855
mag_x,300,300.0,RecentMean30,134.2810645347676,115.97116164226556,-0.03142347863219297
mag_x,600,600.0,RecentMean30,134.57808549846362,115.96267175567222,-0.02927655916574734
mag_y,1,1.0,RecentMean30,134.23554921543973,115.65771903850558,-0.0417398205765096
mag_y,5,5.0,RecentMean30,135.41535079036197,116.94668502307002,-0.026824009005183225
mag_y,10,10.0,RecentMean30,134.20212628735882,115.75906412342778,-0.02897389502815506
mag_y,30,30.0,RecentMean30,133.6751980208596,115.13144094039444,-0.03537329304622894
mag_y,60,60.0,RecentMean30,134.82676490828186,116.06625394480554,-0.042382825697423465
mag_y,300,300.0,RecentMean30,134.5224304542389,115.8576347762811,-0.0341478647567206
mag_y,600,600.0,RecentMean30,135.32090553908748,116.57166742632555,-0.02958027657539275
mag_z,1,1.0,RecentMean30,135.36037871169748,116.76862548791834,-0.03659936164706634
mag_z,5,5.0,RecentMean30,134.2854895347434,116.04200005129834,-0.0332494727524264
mag_z,10,10.0,RecentMean30,135.175692761539,116.52404848114834,-0.03656943553771752
mag_z,30,30.0,RecentMean30,135.05170549908615,116.47063745084833,-0.03500519675644953
mag_z,60,60.0,RecentMean30,134.59781090221904,115.80910704979499,-0.032065418942497814
mag_z,300,300.0,RecentMean30,135.08562351584624,116.35881869341499,-0.040899487023253744
mag_z,600,600.0,RecentMean30,134.3353049264101,115.31354329297501,-0.039846613580998946
temperature,1,1.0,Persistence,0.028722609943770593,0.011395839446499984,0.9997530817027872
temperature,5,5.0,Persistence,0.05394417667135084,0.023257027130999978,0.9991291355912484
temperature,10,10.0,Persistence,0.06890914856173891,0.03418573778516667,0.9985785283647199
temperature,30,30.0,Persistence,0.11876273476697059,0.06544900328399995,0.9957848405192797
temperature,60,60.0,Persistence,0.16928135189891072,0.09946500277399996,0.991446002009711
temperature,300,300.0,Persistence,0.40527022829181486,0.27571519268399997,0.9515124071473314
temperature,600,600.0,Persistence,0.5738444879296624,0.402847926559,0.9040520667458563
