sensor,method,lag,window,MAE,RMSE,R2,sMAPE_percent
vib_x_rms,Lag-1,1.0,,0.0014149448198198197,0.0026666239113689585,-0.23684575557495968,8.227624803368226
vib_x_rms,Lag-2,2.0,,0.0016740795045045046,0.0032822141435331436,-0.8738111984251358,9.637953269409113
vib_x_rms,Lag-5,5.0,,0.0016743801801801803,0.0033338249120408447,-0.9332035322368419,9.624648736629258
vib_x_rms,Lag-10,10.0,,0.001682108108108108,0.0033159024496893534,-0.9124738081666415,9.690994341361895
vib_x_rms,Lag-30,30.0,,0.0016768968468468468,0.0033567794064152225,-0.9599166809755477,9.637858613840288
vib_x_rms,Lag-60,60.0,,0.0016818001126126124,0.003334359608528523,-0.93382369679811,9.68165679671696
vib_x_rms,MovingAverage-5,,5.0,0.0012994747522522554,0.002546462337490338,-0.1278894113038449,7.530362503528165
vib_x_rms,MovingAverage-15,,15.0,0.0012397204054054054,0.0023859307760282986,0.00983474407889684,7.236870550999404
vib_x_rms,MovingAverage-30,,30.0,0.001217092774024024,0.0023735832865711525,0.020056683039284207,7.115763252464034
vib_x_rms,MovingAverage-60,,60.0,0.0012082713063063062,0.002363602509504162,0.028280563302716222,7.070976986144093
vib_y_rms,Lag-1,1.0,,0.0013988918918918917,0.0034419937382815457,-0.08591090378655908,8.610431793135172
vib_y_rms,Lag-2,2.0,,0.001681706644144144,0.004347703037845707,-0.732581957714598,10.156614501040636
vib_y_rms,Lag-5,5.0,,0.0017504287162162164,0.004535266126325896,-0.8852962106670086,10.576694193082666
vib_y_rms,Lag-10,10.0,,0.0017462583333333335,0.004520878284901275,-0.8733532218957736,10.531644900855209
vib_y_rms,Lag-30,30.0,,0.001730170045045045,0.004521390549028788,-0.8737777880807869,10.422108338531546
vib_y_rms,Lag-60,60.0,,0.0017838074324324326,0.004873993116809122,-1.1774283102245477,10.614695263914284
vib_y_rms,MovingAverage-5,,5.0,0.0013443684459459463,0.0034143527388632365,-0.06854007499140247,8.212272083065407
vib_y_rms,MovingAverage-15,,15.0,0.0013149499324324326,0.003273975320014273,0.017517451986039267,8.12088383296519
vib_y_rms,MovingAverage-30,,30.0,0.0012935873798798798,0.0032355384154166503,0.040450986622682095,8.029381380246388
vib_y_rms,MovingAverage-60,,60.0,0.001291495837087087,0.0032370800974410563,0.03953634942080064,8.032094102127713
vib_z_rms,Lag-1,1.0,,0.0013822181306306308,0.0021043251531875575,-0.31254854784732355,7.993376405810294
vib_z_rms,Lag-2,2.0,,0.0016196104729729731,0.002544154102749288,-0.91856496789875,9.324117322880214
vib_z_rms,Lag-5,5.0,,0.0016320820945945947,0.0025748379615989415,-0.9651218743950665,9.40185130579428
vib_z_rms,Lag-10,10.0,,0.0016193574324324324,0.002505921178559524,-0.861334795927122,9.343603399219695
vib_z_rms,Lag-30,30.0,,0.0016462483108108108,0.0025674873555352386,-0.9539178929896732,9.484038121189505
vib_z_rms,Lag-60,60.0,,0.0016634815315315313,0.0026029783901426362,-1.0083102662042296,9.572542738607591
vib_z_rms,MovingAverage-5,,5.0,0.0012531615765765767,0.0019584169100747336,-0.13684167000892744,7.240412676324843
vib_z_rms,MovingAverage-15,,15.0,0.0011956590165165164,0.0018310080711242162,0.006265882730489669,6.930057678177421
vib_z_rms,MovingAverage-30,,30.0,0.0011833385472972973,0.0018242713548488332,0.013564801359055134,6.86065438253877
vib_z_rms,MovingAverage-60,,60.0,0.0011749657826576577,0.0018258965618720882,0.011806427506564687,6.813163376228512
mag_x,Lag-1,1.0,,154.33750230855858,188.8932600630185,-0.9989438751555402,77.74756182196334
mag_x,Lag-2,2.0,,153.85214847522522,188.6945082977366,-0.9947395471727369,77.4628585771129
mag_x,Lag-5,5.0,,154.8723196283784,188.9908783559147,-1.0010104804988504,77.89378494558584
mag_x,Lag-10,10.0,,156.1962529527027,191.03298557969998,-1.0444872320395917,78.14310170262586
mag_x,Lag-30,30.0,,154.39038855518018,189.19926288589474,-1.0054256090646185,77.61201961546597
mag_x,Lag-60,60.0,,155.58430158671172,190.2214463948209,-1.0271535002721808,77.92976451594869
mag_x,MovingAverage-5,,5.0,123.60505578513514,146.38654896160486,-0.20052171885099446,61.142130071822706
mag_x,MovingAverage-15,,15.0,118.60037321346846,138.1060065836191,-0.068544987816193,58.98943670757223
mag_x,MovingAverage-30,,30.0,117.30316537764264,135.73944488900372,-0.03223793149887233,58.50893505123875
mag_x,MovingAverage-60,,60.0,116.56934056137013,134.63311236812362,-0.015480171591660596,58.21312530703114
mag_y,Lag-1,1.0,,152.77403656283786,186.84642991291827,-1.0117091603452497,76.52662042624416
mag_y,Lag-2,2.0,,149.66923700653155,184.08438143179333,-0.9526727705018061,75.24163290143672
mag_y,Lag-5,5.0,,151.22235884436938,185.99118145913283,-0.9933349958627824,75.69572119907835
mag_y,Lag-10,10.0,,152.101273475,186.44535656134224,-1.0030820008607475,76.13914550999648
mag_y,Lag-30,30.0,,150.49588652702704,184.63819375583407,-0.964439558512955,75.51972817185441
mag_y,Lag-60,60.0,,152.753118509009,186.4921757658586,-1.004088134590308,76.22517524729243
mag_y,MovingAverage-5,,5.0,121.62657043585587,144.43607148885047,-0.20211750208762336,59.75621972388001
mag_y,MovingAverage-15,,15.0,116.73517739992492,136.18328951991856,-0.06866903541051017,57.750291974128906
mag_y,MovingAverage-30,,30.0,114.99754091161412,133.7608828676986,-0.030988541063621255,57.03343492909223
mag_y,MovingAverage-60,,60.0,114.49668881158783,132.79526321995343,-0.01615685993990068,56.85446084724721
mag_z,Lag-1,1.0,,153.00281513603605,187.24665469565775,-1.0290815103437798,77.90435801845784
mag_z,Lag-2,2.0,,152.99153315855855,186.4779737995464,-1.0124562228086944,77.97477659037608
mag_z,Lag-5,5.0,,152.61977798513516,186.56938649505835,-1.0144297442316699,77.65083174048519
mag_z,Lag-10,10.0,,152.6901815864865,187.48200160316392,-1.034185346925054,77.78600449273554
mag_z,Lag-30,30.0,,151.70125816768015,185.77531337243005,-0.9973186796145259,77.5599059779551
mag_z,Lag-60,60.0,,151.2690870010135,184.89649257399742,-0.9784665143166167,77.20008489038729
mag_z,MovingAverage-5,,5.0,120.68609142576577,144.00754111508866,-0.20016740740674877,60.467192172903005
mag_z,MovingAverage-15,,15.0,115.55744936085586,135.60698300276243,-0.06422992406310746,58.27500570094455
mag_z,MovingAverage-30,,30.0,114.48107875883635,133.61132898611055,-0.03313702578873512,57.87023330686489
mag_z,MovingAverage-60,,60.0,113.89285830168542,132.59753189166508,-0.01751832490187244,57.62475561557295
temperature,Lag-1,1.0,,0.004997992193693667,0.011803536449045223,0.9990566590706131,0.011751443241536933
temperature,Lag-2,2.0,,0.007491372698198169,0.017681614759226378,0.9978831590166758,0.01761036961944096
temperature,Lag-5,5.0,,0.013336315784909887,0.03123556667780276,0.9933939300856062,0.031328349677417135
temperature,Lag-10,10.0,,0.021250876692567578,0.04812296887553196,0.9843198861287917,0.049886298246639045
temperature,Lag-30,30.0,,0.03712138906081076,0.081975034312315,0.9545003976378443,0.08700847053253831
temperature,Lag-60,60.0,,0.05682164916779273,0.11954340004871021,0.9032400590425101,0.13307645998110257
temperature,MovingAverage-5,,5.0,0.008603481054504446,0.020097630400049596,0.997265146309587,0.020213657234025132
temperature,MovingAverage-15,,15.0,0.015959591580855862,0.03559200341216754,0.99142272655436,0.037460299144806926
temperature,MovingAverage-30,,30.0,0.0224701712158408,0.04875732894164396,0.9839037689092994,0.05269660354381094
temperature,MovingAverage-60,,60.0,0.03307690105257141,0.0691651292672967,0.9676094164101957,0.07750123090585984
