previous_timestamp,timestamp,gap_seconds
2026-06-08 00:44:51,2026-06-08 00:44:54,3.0
2026-06-08 00:45:29,2026-06-08 00:45:32,3.0
2026-06-08 02:11:42,2026-06-08 02:11:48,6.0
2026-06-08 02:11:51,2026-06-08 02:11:58,7.0
2026-06-08 03:33:05,2026-06-08 03:33:08,3.0
2026-06-08 03:40:30,2026-06-08 03:40:33,3.0
2026-06-08 03:40:43,2026-06-08 03:40:46,3.0
2026-06-08 03:41:10,2026-06-08 03:41:14,4.0
2026-06-08 03:41:43,2026-06-08 03:41:47,4.0
2026-06-08 03:42:12,2026-06-08 03:42:15,3.0
2026-06-08 03:52:56,2026-06-08 03:52:59,3.0
2026-06-08 05:10:32,2026-06-08 05:10:35,3.0
2026-06-08 08:47:05,2026-06-08 08:47:08,3.0
2026-06-08 08:50:20,2026-06-08 08:50:23,3.0
2026-06-08 08:52:35,2026-06-08 09:18:54,1579.0
2026-06-08 11:24:37,2026-06-08 11:24:40,3.0
2026-06-08 14:35:40,2026-06-08 14:35:43,3.0
2026-06-08 15:39:53,2026-06-08 15:39:57,4.0
2026-06-08 15:40:34,2026-06-08 15:40:37,3.0
2026-06-08 19:15:47,2026-06-08 19:15:50,3.0
2026-06-08 20:50:11,2026-06-08 20:50:14,3.0
