sensor,dataset,count,mean,std,min,q01,q05,q25,median,q75,q95,q99,max
vib_x_rms,original,59195,0.04052326295013656,0.06752857824820234,0.010757,0.01352094,0.014376,0.015761,0.016939,0.025480999999999997,0.12648759999999967,0.34138857999999955,7.135309
vib_x_rms,regularized,84813,0.040563830080097785,0.06991855339246492,0.010757,0.013645,0.014484,0.015801,0.016901,0.0255584999999999,0.12610939999999995,0.34129312000000195,7.135309
vib_y_rms,original,59195,0.0460337985471746,0.07795730437699787,0.010227,0.012011,0.01278,0.014013,0.015122,0.0321725,0.147849,0.42977885999999593,1.426124
vib_y_rms,regularized,84813,0.04603022963755556,0.07794181698535362,0.010227,0.01212712,0.012875,0.014044,0.015082,0.032194,0.14761119999999997,0.4291952000000023,1.426124
vib_z_rms,original,59195,0.02796934823324042,0.0423133285530091,0.011856,0.01404694,0.014929,0.016366,0.017558,0.020827,0.06386969999999996,0.16242575999999967,7.642777499999999
vib_z_rms,regularized,84813,0.028017334747228208,0.04664242744502631,0.011856,0.014176119999999999,0.0150496,0.016407,0.017529,0.020746,0.06383459999999998,0.16267476000000058,7.642777499999999
mag_x,original,59195,229.68787573248866,132.29781469605737,0.014,4.927160000000001,23.548,115.164,229.558,344.232,435.974,454.216,458.752
mag_x,regularized,84813,229.5983457911189,121.89649345059293,0.014,6.916,31.192,131.565,229.586,327.39,427.616,452.298,458.752
mag_y,original,59195,229.89018986116506,132.5397022029933,0.0,4.41,22.89,115.07300000000001,231.224,345.009,435.55819999999994,453.79684,458.738
mag_y,regularized,84813,230.00059137622375,122.1335819479666,0.0,5.992,31.122,132.202,230.923,328.104,427.602,451.906,458.738
mag_z,original,59195,228.9745876553003,132.23609027753335,0.0,4.564,23.156,115.262,228.424,343.14,435.764,454.314,458.724
mag_z,regularized,84813,228.97940907442842,121.84650542985528,0.0,6.46968,31.08,131.768,228.515,326.676,427.5515999999999,452.3523200000001,458.724
temperature,original,59195,45.014238068849586,1.843292118091376,42.0,42.0,42.0,43.205202625,45.56336026,46.501890245,47.486692979000004,48.238988171399996,49.3412
temperature,regularized,84813,45.014787429921206,1.843485273593513,42.0,42.0,42.0,43.206668655,45.56519786,46.50222871,47.487549934,48.24003261760001,49.3412
