sensor,split,count,mean,std,min,q01,q05,q25,median,q75,q95,q99,max
vib_x_rms,Train,29316,0.045152425717469406,0.06372013084377037,0.011684,0.013618,0.014468749999999999,0.015901,0.017273,0.0746335,0.12462324999999999,0.4043652499999995,0.681549
vib_x_rms,Validation,6282,0.04318830690862783,0.07314613697936226,0.01171,0.01348334,0.014335,0.01572925,0.0168325,0.018503,0.21216324999999997,0.38441131999999933,0.621468
vib_x_rms,Test,6283,0.016323109660989973,0.0021715595481795955,0.011926,0.013398740000000001,0.0141302,0.015336,0.01618,0.017081,0.0185029,0.02018508,0.080602
vib_y_rms,Train,29316,0.053095532866011735,0.08243369766939868,0.010531,0.012089,0.012877,0.014152,0.015454,0.0976895,0.148555,0.5323086999999939,0.881999
vib_y_rms,Validation,6282,0.04589943306271888,0.08991635815049062,0.010227,0.01196034,0.01275605,0.0140005,0.01501,0.01693675,0.23540939999999996,0.44903677999999997,0.816379
vib_y_rms,Test,6283,0.014632795320706667,0.0036976027744235556,0.010659,0.01180092,0.0125051,0.013575,0.014354,0.0152035,0.0166039,0.019638460000000045,0.165852
vib_z_rms,Train,29316,0.030664242433028607,0.03132622506275267,0.012436,0.01413315,0.01504275,0.016537,0.017899,0.04475325,0.0647705,0.21379579999999845,0.368484
vib_z_rms,Validation,6282,0.026050909105380455,0.027132596576288026,0.012056,0.01392805,0.01482905,0.016227,0.017275,0.01872675,0.0831885,0.16236437999999984,0.217057
vib_z_rms,Test,6283,0.016940499124621995,0.0018316656080824604,0.011856,0.013896740000000001,0.0146683,0.015955,0.016884,0.017795,0.0191737,0.02055544,0.072576
mag_x,Train,29316,229.5095122348092,131.88131923101028,0.014,5.3081000000000005,23.936500000000002,115.70649999999999,228.424,344.022,436.07550000000003,454.412,458.724
mag_x,Validation,6282,228.7582874745304,132.42158897795844,0.056,4.48868,22.421000000000003,114.4465,228.64800000000002,341.26050000000004,435.8613,453.824,458.626
mag_x,Test,6283,231.33352903835748,133.45651246751473,0.014,4.984,23.5368,114.16300000000001,233.478,348.075,437.3712,454.55956000000003,458.752
mag_y,Train,29316,229.15005617245419,132.5473548940717,0.0,4.2742,22.729,114.359,229.69799999999998,344.2355,435.771,453.93389999999994,458.738
mag_y,Validation,6282,228.8823363253741,132.81278587019662,0.028,4.09402,21.322699999999998,112.68950000000001,231.21,343.861,434.88199999999995,453.964,458.612
mag_y,Test,6283,231.0501911266911,130.95323137127792,0.112,5.38244,24.7786,118.57300000000001,233.296,343.0,433.7788,452.3498000000001,458.64
mag_z,Train,29316,229.92638623505934,132.39662321534797,0.028,4.482100000000001,23.110500000000002,116.0145,230.664,343.5775,436.065,453.964,458.724
mag_z,Validation,6282,229.00523526711237,131.23879100096653,0.028,5.51474,26.3368,115.82900000000001,229.285,343.777,435.5134,454.90059999999994,458.724
mag_z,Test,6283,225.53855178640774,131.73375190324978,0.0,3.52548,21.672,112.581,223.692,337.869,434.65799999999996,454.43104,458.598
temperature,Train,29316,46.056450497017735,1.1134368399439716,43.19909928,43.25,43.95614485,45.5000004425,46.25,46.7744340325,47.598808362499994,48.250765247000004,49.18341366
temperature,Validation,6282,42.98614924524674,0.41886975003933496,42.25001063,42.2530583418,42.47952,42.743309455,42.999940609999996,43.25,43.7539757585,44.231581814399995,44.24999994
temperature,Test,6283,42.32791550339329,0.38807773777609933,42.0,42.0,42.0,42.0,42.25,42.500037969999994,43.246084156,43.4110835796,43.59435162
