sensor,feature_set,model,validation_MAE,validation_RMSE,validation_R2,test_MAE,test_RMSE,test_R2
mag_x,Baseline,Ridge,114.86228658691589,132.86486859444193,-0.0069968215687103985,116.08801525051459,133.60486733594607,-0.0022512433731562975
mag_x,Baseline,XGBoost,114.83689655836558,132.899704360202,-0.007524938662512914,116.4651093674796,134.34719806061545,-0.01341953095741677
mag_x,RegimeAware,XGBoost,114.76515510480287,132.92343572607456,-0.00788479014316823,116.41907454941993,134.50508809601948,-0.015802950518559955
mag_x,RegimeAware,Ridge,114.88269409036008,132.99971369898887,-0.009041869282551795,116.12261920931307,133.6305216389239,-0.0026361773375587205
mag_x,Persistence,Persistence,154.02340850262613,188.44475419283992,-1.0257035060545023,153.1671268443171,187.4254659763775,-0.972373877196649
mag_y,Baseline,Ridge,115.55637350659202,133.68261035093886,-0.01304062891131208,113.10428272390594,131.16779171232642,-0.0037024719774589876
mag_y,Baseline,XGBoost,115.63596081760896,134.0979918618594,-0.019345893340803277,113.6684272591906,132.0547429321734,-0.017322355135065193
mag_y,RegimeAware,XGBoost,115.53719662127654,134.13821936074868,-0.019957563743809192,113.7211355034099,132.29697573362753,-0.02105800075096531
mag_y,RegimeAware,Ridge,115.88530304313363,134.32391039473166,-0.022783426038959886,112.98632029602135,131.03474234556307,-0.0016673039264052392
mag_y,Persistence,Persistence,152.08205553939203,186.43572575717704,-0.970313370475598,151.19156904075138,184.85673286008043,-0.9935224275803585
mag_z,Baseline,Ridge,113.84603206116897,131.64990346820792,-0.006514962287445858,113.82559909666774,131.98069675873853,-0.0038382838984518663
mag_z,RegimeAware,Ridge,113.91749654439215,131.77360918068618,-0.00840740802953599,113.84049574378726,132.0299888000768,-0.004588249302609038
mag_z,Baseline,XGBoost,114.34372869975016,132.75502069787007,-0.023483992942165077,114.44364475405828,133.1300451008861,-0.021398179102227965
mag_z,RegimeAware,XGBoost,115.31606316556753,134.36247294498466,-0.04841957765795124,114.81997052326837,134.08469236564966,-0.03609915820743104
mag_z,Persistence,Persistence,152.35476921820788,186.26579358152603,-1.014862246598001,152.41262671489972,185.66497854437534,-0.9865655710186816
temperature,Persistence,Persistence,0.1317618207989813,0.19239440372134492,0.7889731343666309,0.07277793281757398,0.1482441532982078,0.8539478120464598
temperature,Baseline,Ridge,0.15974095876860328,0.20091609196601604,0.7698651861460586,0.19207225678361708,0.2172723357320427,0.6862658561209308
temperature,RegimeAware,Ridge,0.1633731300662418,0.20541413233918726,0.7594454827914945,0.1967619149043083,0.2231417167134373,0.669086519575079
temperature,RegimeAware,XGBoost,0.4952619844060548,0.5815283396907861,-0.9279450253455603,1.290597527917172,1.3686195143127284,-11.448538751457582
temperature,Baseline,XGBoost,0.49398154029799535,0.5837720939097658,-0.9428511952927594,1.3685497239481634,1.438750275286649,-12.757000686566167
vib_x_rms,RegimeAware,XGBoost,0.034357071372946336,0.07674785808599237,-0.10123301598222811,0.005350348391608842,0.008634199466019465,-14.809203149969422
vib_x_rms,Baseline,XGBoost,0.03668893403294732,0.07972178785258557,-0.1882306623714649,0.007135945250750697,0.011860893592873411,-28.83325531459226
vib_x_rms,Baseline,Ridge,0.04256488174586153,0.08877108122684392,-0.4732950000973324,0.004589374590061916,0.006101112140954224,-6.893758589824995
vib_x_rms,RegimeAware,Ridge,0.04416687040067272,0.0896731589559281,-0.5033899199497374,0.005179063928879206,0.006679077794925948,-8.460167570857196
vib_x_rms,Persistence,Persistence,0.04440577407289511,0.09969960727418026,-0.8583760122005359,0.0017085496657115566,0.0033789729966040996,-1.4212256578128453
vib_y_rms,RegimeAware,XGBoost,0.04293115440050063,0.09495401413521544,-0.11552417231685674,0.012754949351602575,0.01773372910556486,-22.00170852211477
vib_y_rms,Baseline,XGBoost,0.044719598139874785,0.10084016982089451,-0.2581124617851758,0.009094448664479166,0.016990268528720525,-20.113510153965667
vib_y_rms,Baseline,Ridge,0.050565675762979344,0.10880263098261869,-0.464640779529506,0.005258870441301997,0.007525772683280864,-3.1424964815655896
vib_y_rms,RegimeAware,Ridge,0.05349271647985842,0.11085127347646448,-0.5203154213402912,0.005899782189333003,0.008191461341260928,-3.907753344126701
vib_y_rms,Persistence,Persistence,0.052411823889861535,0.12280667737523206,-0.8659340509216542,0.00182426488379497,0.005278788811323058,-1.0381142745383092
vib_z_rms,RegimeAware,XGBoost,0.01329505381759779,0.029864445183502744,-0.2118754482474683,0.0036766451672654134,0.0056218666300666825,-8.420681049477512
vib_z_rms,Baseline,XGBoost,0.014217492482926915,0.03165782528218501,-0.3617934503488687,0.003320120422698621,0.005622035661248309,-8.42124755626014
vib_z_rms,Baseline,Ridge,0.016425951016535184,0.035106817702878566,-0.6746806931569989,0.002296846103870876,0.0031793901718696815,-2.0130676199846116
vib_z_rms,RegimeAware,Ridge,0.017502335123732896,0.03606195273671295,-0.7670448187204295,0.0026493072417785313,0.0035462378099831303,-2.7484949956503
vib_z_rms,Persistence,Persistence,0.01619213090880153,0.03727614635823648,-0.8880396118294773,0.0016417685450493473,0.002619775405105035,-1.045734855015266
