sensor,horizon,horizon_seconds,best_model,validation_RMSE,validation_MAE,validation_R2,test_RMSE,test_MAE,test_R2
vib_x_rms,1min,60,Ridge,0.07817211303566522,0.0339489067397846,-0.12624437130452293,0.004902118607957239,0.0032896501741977438,-4.257273478322114
vib_x_rms,5min,300,Ridge,0.0901640648275327,0.042813530130356256,-0.4931685611706389,0.010021393036552808,0.008104597160996672,-16.272127758606207
vib_x_rms,10min,600,Ridge,0.08009231988456117,0.039829966817529094,-0.20044179774523196,0.022268627204803305,0.021151868667393707,-101.1712722718754
vib_x_rms,30min,1800,Ridge,0.08145656623680736,0.03601569130011664,-0.21361346950960436,0.025268290189287,0.023598333233433667,-132.69693582677857
vib_x_rms,60min,3600,Ridge,0.08420238481309895,0.04041192770539953,-0.3131247954742944,0.018995959329762103,0.016544603065999662,-64.38434436192233
vib_y_rms,1min,60,Ridge,0.10166176770900733,0.04177332848440747,-0.26709393455045793,0.006314755923509073,0.0040289468828517555,-3.328447277179378
vib_y_rms,5min,300,Ridge,0.11072925923980675,0.05125470879708066,-0.4919234623761486,0.010736810526685197,0.008420377276517592,-10.405639732317479
vib_y_rms,10min,600,Ridge,0.09829228995672734,0.04511279020034102,-0.1893676176068806,0.02462129575692901,0.023217278315079533,-66.07627376809026
vib_y_rms,30min,1800,Ridge,0.10045592509596755,0.04278835321609922,-0.22486114442352445,0.028448784121209214,0.026594662887454882,-78.95660913982529
vib_y_rms,60min,3600,Ridge,0.10395300836388309,0.049291849849799764,-0.32402751180297007,0.020401654382513765,0.017079241990965173,-33.19144887179955
vib_z_rms,1min,60,Persistence,0.031033582446644822,0.011870607204458008,-0.26697050484068185,0.0026263421340162662,0.0016562677457874486,-1.1321113437558834
vib_z_rms,5min,300,Ridge,0.03547090955699738,0.01671906534308779,-0.6406558227491179,0.0046036033440278595,0.0036585107255773523,-5.762807587839674
vib_z_rms,10min,600,Ridge,0.030545563712872165,0.014610912936407818,-0.22107793281156796,0.009118053503929335,0.008395829053829199,-25.026053975464354
vib_z_rms,30min,1800,Ridge,0.03245895271196232,0.015396018016519108,-0.3548291302313984,0.010827723143496115,0.009642230647246341,-33.61428130377397
vib_z_rms,60min,3600,Ridge,0.032566924563096206,0.016518840262947383,-0.4158468467426504,0.008936186516240193,0.007445190455916443,-20.42917838144004
mag_x,1min,60,Ridge,132.67906793605675,114.71934678990037,-0.00719797093567931,133.6888204646629,116.08554219644753,-0.004504408952218375
mag_x,5min,300,Ridge,133.19784501797565,115.3234149601105,-0.0074742398320173375,133.3655042138807,115.78846037615189,-0.0028170168172345633
mag_x,10min,600,Ridge,132.79297487634852,114.97958636208514,-0.007436026603199863,133.56413659867093,115.983363616622,-0.0014796191560073613
mag_x,30min,1800,Ridge,132.74423793925104,114.81880372980036,-0.0045011672984598405,133.60588192710057,116.11017837657789,-0.002406237868587402
mag_x,60min,3600,Ridge,133.3687409456857,115.69199047735422,-0.006852365407053362,133.94474055441435,116.54218397460187,-0.002915230911774591
mag_y,1min,60,Ridge,133.027557687462,115.01062434781201,-0.00917599278868253,131.9126947124545,113.9962776570122,-0.0038625659924613753
mag_y,5min,300,Ridge,132.76436113538114,114.74315558051333,-0.010511397143113221,132.42280892995203,114.78329875333107,-0.000623667411479456
mag_y,10min,600,Ridge,132.94963127943967,115.04585701557644,-0.008593033981986853,131.75180256083016,113.84036394923586,-0.0012659166790296439
mag_y,30min,1800,Ridge,133.50581262210025,115.3390088867055,-0.01612228471674726,131.71353313280022,113.57163975980777,-0.003587086446708687
mag_y,60min,3600,Ridge,133.14844674487657,114.98627262936162,-0.008711169832876564,132.22009696109268,114.17997924191093,-0.011475850692235001
mag_z,1min,60,Ridge,132.23151112268997,114.45764915065718,-0.008330321226642123,131.73262927154553,113.61587102019901,-0.003578493803509719
mag_z,5min,300,Ridge,132.43026707289323,114.38885342707115,-0.01847999735562067,130.73047426976217,112.45379845517141,-0.003862661104740317
mag_z,10min,600,Ridge,131.86528947686693,114.02733151379917,-0.005645255770137192,131.925790696332,113.72140715199893,-0.00413253990509399
mag_z,30min,1800,Ridge,132.3682670454847,114.28203882725495,-0.014057523463446353,131.96875956970814,113.84645938259922,-0.004040395225332505
mag_z,60min,3600,Ridge,130.69517081383862,112.67979920050529,-0.008301215589299193,132.16782317655978,113.86957489258666,-0.006377928871466487
temperature,1min,60,Persistence,0.14033662651734197,0.08864151559241068,0.8870592602011019,0.09818332328647572,0.044967346676396375,0.9348868726190135
temperature,5min,300,Persistence,0.28728799201911015,0.21715378851275915,0.49496706008885205,0.2049490752764319,0.1125073078114411,0.7166985161580388
temperature,10min,600,Persistence,0.38056807868285436,0.29542634526508915,0.11025260080460075,0.27355959653597733,0.1676266660154372,0.5015957587197921
temperature,30min,1800,Persistence,0.4517214149208602,0.3653341931492063,-0.2499140700796214,0.4165909737832512,0.2738151143770829,-0.12001699209352856
temperature,60min,3600,Persistence,0.5152298695352899,0.42558673209942477,-0.6080902292365467,0.4518036275215735,0.34345659666803613,-0.33637626442339674
