sensor,model,horizon,horizon_seconds,test_RMSE,increase_vs_shortest_horizon_percent
vib_x_rms,Persistence,1min,60,0.0032726308201619135,0.0
vib_x_rms,Persistence,5min,300,0.00347625112014494,6.2219147563590225
vib_x_rms,Persistence,10min,600,0.0033623345784456232,2.7410289514984556
vib_x_rms,Persistence,30min,1800,0.015884145023905248,385.3631800505304
vib_x_rms,Persistence,60min,3600,0.038032657574267846,1062.143231351856
vib_x_rms,Ridge,1min,60,0.004902118607957239,0.0
vib_x_rms,Ridge,5min,300,0.010021393036552808,104.42983609661216
vib_x_rms,Ridge,10min,600,0.022268627204803305,354.26536936731134
vib_x_rms,Ridge,30min,1800,0.025268290189287,415.4565241264528
vib_x_rms,Ridge,60min,3600,0.018995959329762103,287.50509414546485
vib_y_rms,Persistence,1min,60,0.005079685549174552,0.0
vib_y_rms,Persistence,5min,300,0.005270192433510074,3.7503676645688433
vib_y_rms,Persistence,10min,600,0.0050639950086795275,-0.308888027419041
vib_y_rms,Persistence,30min,1800,0.016467321541273536,224.17993947888513
vib_y_rms,Persistence,60min,3600,0.043261126639340106,751.6496978607963
vib_y_rms,Ridge,1min,60,0.006314755923509073,0.0
vib_y_rms,Ridge,5min,300,0.010736810526685197,70.02732419178824
vib_y_rms,Ridge,10min,600,0.02462129575692901,289.90098829264156
vib_y_rms,Ridge,30min,1800,0.028448784121209214,350.51280623203024
vib_y_rms,Ridge,60min,3600,0.020401654382513765,223.0790647716103
vib_z_rms,Persistence,1min,60,0.0026263421340162662,0.0
vib_z_rms,Persistence,5min,300,0.0025647150806449013,-2.346497531669964
vib_z_rms,Persistence,10min,600,0.002633850119353995,0.2858723255293757
vib_z_rms,Persistence,30min,1800,0.00530423845376066,101.96296529841906
vib_z_rms,Persistence,60min,3600,0.013312498115810313,406.88362111389057
vib_z_rms,Ridge,1min,60,0.002829966217753826,0.0
vib_z_rms,Ridge,5min,300,0.0046036033440278595,62.67343809690611
vib_z_rms,Ridge,10min,600,0.009118053503929335,222.19654936179643
vib_z_rms,Ridge,30min,1800,0.010827723143496115,282.6096252577919
vib_z_rms,Ridge,60min,3600,0.008936186516240193,215.77007732534835
mag_x,Persistence,1min,60,188.5894940926267,0.0
mag_x,Persistence,5min,300,187.18396521632846,-0.7452848224980625
mag_x,Persistence,10min,600,187.43764537670006,-0.6107703514814512
mag_x,Persistence,30min,1800,190.9599487035085,1.256938846083088
mag_x,Persistence,60min,3600,191.18134501954395,1.3743347366127647
mag_x,Ridge,1min,60,133.6888204646629,0.0
mag_x,Ridge,5min,300,133.3655042138807,-0.24184239913138916
mag_x,Ridge,10min,600,133.56413659867093,-0.09326424270826673
mag_x,Ridge,30min,1800,133.60588192710057,-0.06203849901141412
mag_x,Ridge,60min,3600,133.94474055441435,0.19142968638808908
mag_y,Persistence,1min,60,185.50436603372106,0.0
mag_y,Persistence,5min,300,186.20019920299168,0.3751033919838499
mag_y,Persistence,10min,600,186.15563289688615,0.35107899457563174
mag_y,Persistence,30min,1800,185.09450292661344,-0.2209452617590165
mag_y,Persistence,60min,3600,185.16053640583326,-0.18534853666209483
mag_y,Ridge,1min,60,131.9126947124545,0.0
mag_y,Ridge,5min,300,132.42280892995203,0.38670593350357085
mag_y,Ridge,10min,600,131.75180256083016,-0.1219686641797947
mag_y,Ridge,30min,1800,131.71353313280022,-0.150979843212529
mag_y,Ridge,60min,3600,132.22009696109268,0.23303462135183242
mag_z,Persistence,1min,60,187.74201565047375,0.0
mag_z,Persistence,5min,300,181.96842702738763,-3.0752778503427733
mag_z,Persistence,10min,600,186.0680848803941,-0.8916122287703814
mag_z,Persistence,30min,1800,185.8893660261359,-0.9868060795655853
mag_z,Persistence,60min,3600,187.59256342310383,-0.07960510429810252
mag_z,Ridge,1min,60,131.73262927154553,0.0
mag_z,Ridge,5min,300,130.73047426976217,-0.7607492595608765
mag_z,Ridge,10min,600,131.925790696332,0.14663141991062423
mag_z,Ridge,30min,1800,131.96875956970814,0.17924966613689955
mag_z,Ridge,60min,3600,132.16782317655978,0.33036151135885977
temperature,Persistence,1min,60,0.09818332328647572,0.0
temperature,Persistence,5min,300,0.2049490752764319,108.74122856623171
temperature,Persistence,10min,600,0.27355959653597733,178.6212437890383
temperature,Persistence,30min,1800,0.4165909737832512,324.2991170348698
temperature,Persistence,60min,3600,0.4518036275215735,360.1633071633924
temperature,Ridge,1min,60,0.12969335835944756,0.0
temperature,Ridge,5min,300,0.4330789600983846,233.92531859323046
temperature,Ridge,10min,600,0.674567619105722,420.125030020384
temperature,Ridge,30min,1800,1.47067606985384,1033.9640583348103
temperature,Ridge,60min,3600,2.2504276931624982,1635.1911629191093
