horizon,horizon_seconds,sensor,model,validation_MAE,validation_RMSE,validation_R2,test_MAE,test_RMSE,test_R2,matched_rows
1min,60,mag_x,Ridge,114.71934678990037,132.67906793605675,-0.00719797093567931,116.08554219644753,133.6888204646629,-0.004504408952218375,50244
1min,60,mag_x,Persistence,154.14394237388885,188.83557724154363,-1.0402230913016464,154.11235088801914,188.5894940926267,-0.9989257160344978,50244
5min,300,mag_x,Ridge,115.3234149601105,133.19784501797565,-0.0074742398320173375,115.78846037615189,133.3655042138807,-0.0028170168172345633,33441
5min,300,mag_x,Persistence,153.3860261275917,186.934425620632,-0.9843493314783613,151.74895500318917,187.18396521632846,-0.9754769118138442,33441
10min,600,mag_x,Ridge,114.97958636208514,132.79297487634852,-0.007436026603199863,115.983363616622,133.56413659867093,-0.0014796191560073613,52685
10min,600,mag_x,Persistence,152.0051769738074,186.50144419226172,-0.9871546865752812,152.5564444553967,187.43764537670006,-0.97231389001715,52685
30min,1800,mag_x,Ridge,114.81880372980036,132.74423793925104,-0.0045011672984598405,116.11017837657789,133.60588192710057,-0.002406237868587402,42001
30min,1800,mag_x,Persistence,151.908380915873,186.37432199721084,-0.9801187747645572,156.40799535835583,190.9599487035085,-1.047751170996197,42001
60min,3600,mag_x,Ridge,115.69199047735422,133.3687409456857,-0.006852365407053362,116.54218397460187,133.94474055441435,-0.002915230911774591,32452
60min,3600,mag_x,Persistence,152.823831609696,186.2008189867781,-0.9625506134088249,156.65419766474938,191.18134501954395,-1.0431672632048605,32452
1min,60,mag_y,Ridge,115.01062434781201,133.027557687462,-0.00917599278868253,113.9962776570122,131.9126947124545,-0.0038625659924613753,50244
1min,60,mag_y,Persistence,151.50180319185353,186.09264035083078,-0.9748861804768245,151.4687990835876,185.50436603372106,-0.9852232215163155,50244
5min,300,mag_y,Ridge,114.74315558051333,132.76436113538114,-0.010511397143113221,114.78329875333107,132.42280892995203,-0.000623667411479456,33441
5min,300,mag_y,Persistence,151.53678687380383,185.71002147800215,-0.9771921458208572,152.40162511281642,186.20019920299168,-0.9783606342626248,33441
10min,600,mag_y,Ridge,115.04585701557644,132.94963127943967,-0.008593033981986853,113.84036394923586,131.75180256083016,-0.0012659166790296439,52685
10min,600,mag_y,Persistence,152.570619878021,186.7808312901573,-0.9907022063776838,151.60395911299506,186.15563289688615,-0.9988889431526287,52685
30min,1800,mag_y,Ridge,115.3390088867055,133.50581262210025,-0.01612228471674726,113.57163975980777,131.71353313280022,-0.003587086446708687,42001
30min,1800,mag_y,Persistence,152.78326870301586,186.6237013057052,-0.9855426668954326,150.30716821948897,185.09450292661344,-0.9818980353929008,42001
60min,3600,mag_y,Ridge,114.98627262936162,133.14844674487657,-0.008711169832876564,114.17997924191093,132.22009696109268,-0.011475850692235001,32452
60min,3600,mag_y,Persistence,153.92599938311423,188.13326554267138,-1.0138439224423803,150.9655516088743,185.16053640583326,-0.9836152396110853,32452
1min,60,mag_z,Ridge,114.45764915065718,132.23151112268997,-0.008330321226642123,113.61587102019901,131.73262927154553,-0.003578493803509719,50244
1min,60,mag_z,Persistence,153.14661834098447,187.1507502054839,-1.0198357262318876,153.571438609659,187.74201565047375,-1.0383914002866428,50244
5min,300,mag_z,Ridge,114.38885342707115,132.43026707289323,-0.01847999735562067,112.45379845517141,130.73047426976217,-0.003862661104740317,33441
5min,300,mag_z,Persistence,151.79633673624403,186.74856406939494,-1.0253148009642032,147.93251088319712,181.96842702738763,-0.9449691147691484,33441
10min,600,mag_z,Ridge,114.02733151379917,131.86528947686693,-0.005645255770137192,113.72140715199893,131.925790696332,-0.00413253990509399,52685
10min,600,mag_z,Persistence,151.97767737846385,186.68231742457218,-1.0155342895878943,152.2318811352651,186.0680848803941,-0.99744764442645,52685
30min,1800,mag_z,Ridge,114.28203882725495,132.3682670454847,-0.014057523463446353,113.84645938259922,131.96875956970814,-0.004040395225332505,42001
30min,1800,mag_z,Persistence,150.26366204111113,184.58512692644825,-0.9719151981345617,152.55174306506905,185.8893660261359,-0.992131530438781,42001
60min,3600,mag_z,Ridge,112.67979920050529,130.69517081383862,-0.008301215589299193,113.86957489258666,132.16782317655978,-0.006377928871466487,32452
60min,3600,mag_z,Persistence,150.76325761133936,184.83376664160247,-1.0166653535543788,153.5750331086689,187.59256342310383,-1.0274066434718474,32452
1min,60,temperature,Persistence,0.08864151559241068,0.14033662651734197,0.8870592602011019,0.044967346676396375,0.09818332328647572,0.9348868726190135,50244
1min,60,temperature,Ridge,0.10808338647055982,0.14603567579934912,0.8776999899736441,0.10837481377089833,0.12969335835944756,0.8863868576821583,50244
5min,300,temperature,Persistence,0.21715378851275915,0.28728799201911015,0.49496706008885205,0.1125073078114411,0.2049490752764319,0.7166985161580388,33441
5min,300,temperature,Ridge,0.26873274082323484,0.3297564990454852,0.33461733102153246,0.408246044596248,0.4330789600983846,-0.26500165450312485,33441
10min,600,temperature,Persistence,0.29542634526508915,0.38056807868285436,0.11025260080460075,0.1676266660154372,0.27355959653597733,0.5015957587197921,52685
10min,600,temperature,Ridge,0.3677187269878496,0.44852561417795417,-0.235880588327809,0.6259328446267091,0.674567619105722,-2.030601268216267,52685
30min,1800,temperature,Persistence,0.3653341931492063,0.4517214149208602,-0.2499140700796214,0.2738151143770829,0.4165909737832512,-0.12001699209352856,42001
30min,1800,temperature,Ridge,0.7763476047476433,0.8766910071806185,-3.7079506380531235,1.3907106414053636,1.47067606985384,-12.958506443401701,42001
60min,3600,temperature,Persistence,0.42558673209942477,0.5152298695352899,-0.6080902292365467,0.34345659666803613,0.4518036275215735,-0.33637626442339674,32452
60min,3600,temperature,Ridge,1.1201263239629198,1.2325656482809222,-8.202979774573466,2.1674157057408876,2.2504276931624982,-32.15579558264024,32452
1min,60,vib_x_rms,Ridge,0.0339489067397846,0.07817211303566522,-0.12624437130452293,0.0032896501741977438,0.004902118607957239,-4.257273478322114,50244
1min,60,vib_x_rms,Persistence,0.030718362412100304,0.0799903940438036,-0.1792465197210391,0.0016850898235372164,0.0032726308201619135,-1.3430792149635615,50244
5min,300,vib_x_rms,Ridge,0.042813530130356256,0.0901640648275327,-0.4931685611706389,0.008104597160996672,0.010021393036552808,-16.272127758606207,33441
5min,300,vib_x_rms,Persistence,0.04895771391547049,0.10126275739582447,-0.883394814039073,0.0017018243970500298,0.00347625112014494,-1.0783176918061126,33441
10min,600,vib_x_rms,Ridge,0.039829966817529094,0.08009231988456117,-0.20044179774523196,0.021151868667393707,0.022268627204803305,-101.1712722718754,52685
10min,600,vib_x_rms,Persistence,0.04729287517398456,0.10101394041577376,-0.9095102212757094,0.001710421485511831,0.0033623345784456232,-1.329291090366152,52685
30min,1800,vib_x_rms,Ridge,0.03601569130011664,0.08145656623680736,-0.21361346950960436,0.023598333233433667,0.025268290189287,-132.69693582677857,42001
30min,1800,vib_x_rms,Persistence,0.050576217222222226,0.10647105411943629,-1.0734391679996698,0.00357059990477702,0.015884145023905248,-51.83204595366244,42001
60min,3600,vib_x_rms,Ridge,0.04041192770539953,0.08420238481309895,-0.3131247954742944,0.016544603065999662,0.018995959329762103,-64.38434436192233,32452
60min,3600,vib_x_rms,Persistence,0.0469985363599014,0.10502619959492303,-1.042925454146964,0.009989581861133938,0.038032657574267846,-261.09857371611577,32452
1min,60,vib_y_rms,Ridge,0.04177332848440747,0.10166176770900733,-0.26709393455045793,0.0040289468828517555,0.006314755923509073,-3.328447277179378,50244
1min,60,vib_y_rms,Persistence,0.03731735524744593,0.10278480982383595,-0.29524335032120574,0.0017747605147936845,0.005079685549174552,-1.8008680625143767,50244
5min,300,vib_y_rms,Ridge,0.05125470879708066,0.11072925923980675,-0.4919234623761486,0.008420377276517592,0.010736810526685197,-10.405639732317479,33441
5min,300,vib_y_rms,Persistence,0.05623591228070176,0.12293427663561433,-0.838940742681876,0.0018398098465218257,0.005270192433510074,-1.7480334669327742,33441
10min,600,vib_y_rms,Ridge,0.04511279020034102,0.09829228995672734,-0.1893676176068806,0.023217278315079533,0.02462129575692901,-66.07627376809026,52685
10min,600,vib_y_rms,Persistence,0.053851257813488554,0.12354341535663153,-0.8789551345422812,0.0018073778312033405,0.0050639950086795275,-1.8374855363359313,52685
30min,1800,vib_y_rms,Ridge,0.04278835321609922,0.10045592509596755,-0.22486114442352445,0.026594662887454882,0.028448784121209214,-78.95660913982529,42001
30min,1800,vib_y_rms,Persistence,0.05868912373015873,0.1313341244141858,-1.0935865002901988,0.0037342123472464688,0.016467321541273536,-25.790010249366826,42001
60min,3600,vib_y_rms,Ridge,0.049291849849799764,0.10395300836388309,-0.32402751180297007,0.017079241990965173,0.020401654382513765,-33.19144887179955,32452
