sensor,regime_type,horizon_seconds,regime,model,samples,MAE,RMSE,R2
mag_x,operating_regime,60,High_Vibration__Low_Temperature,Ridge,447,111.0100397204741,130.47548459399334,-0.0024188423989273122
mag_x,temperature_regime,60,Low_Temperature,Ridge,6283,116.07727714944588,133.5864974616722,-0.0021084191523152995
mag_x,vibration_regime,60,High_Vibration,Ridge,447,111.0100397204741,130.47548459399334,-0.0024188423989273122
mag_y,operating_regime,60,Medium_Vibration__Low_Temperature,Ridge,2658,112.39654148900317,130.62867646817767,-0.0012255400939886751
mag_y,temperature_regime,60,Low_Temperature,Ridge,6283,113.10726564394042,131.17152980124177,-0.0034964857436776686
mag_y,vibration_regime,60,Medium_Vibration,Ridge,2658,112.39654148900317,130.62867646817767,-0.0012255400939886751
mag_z,operating_regime,60,High_Vibration__Low_Temperature,Ridge,447,111.88730995238402,130.561238299818,-0.0029797588086550864
mag_z,temperature_regime,60,Low_Temperature,Ridge,6283,113.81142192150345,131.95995203314146,-0.0035968821372185378
mag_z,vibration_regime,60,High_Vibration,Ridge,447,111.88730995238402,130.561238299818,-0.0029797588086550864
temperature,operating_regime,60,Medium_Vibration__Low_Temperature,Persistence,2658,0.07277753380361168,0.1427584931628745,0.8657886965749255
temperature,temperature_regime,60,Low_Temperature,Persistence,6283,0.07277441141811232,0.14823373301080134,0.8540763248272545
temperature,vibration_regime,60,Medium_Vibration,Persistence,2658,0.07277753380361168,0.1427584931628745,0.8657886965749255
vib_x_rms,operating_regime,60,Low_Vibration__Low_Temperature,Persistence,3178,0.001502334172435494,0.0023647894615818465,-0.4106532262460012
vib_x_rms,temperature_regime,60,Low_Temperature,Persistence,6283,0.0017083519019576636,0.0033787092025944353,-1.4211810771747997
vib_x_rms,vibration_regime,60,Low_Vibration,Persistence,3178,0.001502334172435494,0.0023647894615818465,-0.4106532262460012
vib_y_rms,operating_regime,60,Medium_Vibration__Low_Temperature,Persistence,2658,0.0014844172310007524,0.00300397812107857,-0.16261288614742853
vib_y_rms,temperature_regime,60,Low_Temperature,Persistence,6283,0.0018240070030240332,0.005278369336978242,-1.0381125830764564
vib_y_rms,vibration_regime,60,Medium_Vibration,Persistence,2658,0.0014844172310007524,0.00300397812107857,-0.16261288614742853
vib_z_rms,operating_regime,60,Medium_Vibration__Low_Temperature,Persistence,2658,0.0015105218209179832,0.002165602892733175,-0.4811806246809054
vib_z_rms,temperature_regime,60,Low_Temperature,Persistence,6283,0.0016415147222664332,0.00261956698266473,-1.0456708719565735
vib_z_rms,vibration_regime,60,Medium_Vibration,Persistence,2658,0.0015105218209179832,0.002165602892733175,-0.4811806246809054
