sensor,horizon_seconds,regime_type,regime,model,samples,MAE,RMSE,R2
vib_x_rms,60,vibration_regime,Medium_Vibration,Persistence,2658,0.0015220707298720844,0.0024033289464471357,-0.37940583068991063
vib_x_rms,60,vibration_regime,Medium_Vibration,Ridge,2658,0.00450952731329761,0.005962752599619408,-7.491007093762843
vib_x_rms,60,vibration_regime,Medium_Vibration,XGBoost,2658,0.006542114100887368,0.011071872866116042,-28.2757347413086
vib_x_rms,60,vibration_regime,Low_Vibration,Persistence,3178,0.001502334172435494,0.0023647894615818465,-0.4106532262460012
vib_x_rms,60,vibration_regime,Low_Vibration,Ridge,3178,0.0044454964079826305,0.005803188665034665,-7.495103680897518
vib_x_rms,60,vibration_regime,Low_Vibration,XGBoost,3178,0.007198263133527024,0.012296580318338243,-37.142047746582016
vib_x_rms,60,vibration_regime,High_Vibration,Persistence,447,0.004280744966442953,0.009292657327351494,-5.606898402128896
vib_x_rms,60,vibration_regime,High_Vibration,Ridge,447,0.00584623338105154,0.008159317705385877,-4.093607439468644
vib_x_rms,60,vibration_regime,High_Vibration,XGBoost,447,0.00676305499693138,0.010650945986559003,-7.67948881678959
vib_x_rms,60,temperature_regime,Low_Temperature,Persistence,6283,0.0017083519019576636,0.0033787092025944353,-1.4211810771747997
vib_x_rms,60,temperature_regime,Low_Temperature,Ridge,6283,0.004572238978934248,0.006067264901880062,-6.807492139399913
vib_x_rms,60,temperature_regime,Low_Temperature,XGBoost,6283,0.006889719099496393,0.011679548977176542,-27.931955336372546
vib_x_rms,60,operating_regime,Medium_Vibration__Low_Temperature,Persistence,2658,0.0015220707298720844,0.0024033289464471357,-0.37940583068991063
vib_x_rms,60,operating_regime,Medium_Vibration__Low_Temperature,Ridge,2658,0.00450952731329761,0.005962752599619408,-7.491007093762843
vib_x_rms,60,operating_regime,Medium_Vibration__Low_Temperature,XGBoost,2658,0.006542114100887368,0.011071872866116042,-28.2757347413086
vib_x_rms,60,operating_regime,Low_Vibration__Low_Temperature,Persistence,3178,0.001502334172435494,0.0023647894615818465,-0.4106532262460012
vib_x_rms,60,operating_regime,Low_Vibration__Low_Temperature,Ridge,3178,0.0044454964079826305,0.005803188665034665,-7.495103680897518
vib_x_rms,60,operating_regime,Low_Vibration__Low_Temperature,XGBoost,3178,0.007198263133527024,0.012296580318338243,-37.142047746582016
vib_x_rms,60,operating_regime,High_Vibration__Low_Temperature,Persistence,447,0.004280744966442953,0.009292657327351494,-5.606898402128896
vib_x_rms,60,operating_regime,High_Vibration__Low_Temperature,Ridge,447,0.00584623338105154,0.008159317705385877,-4.093607439468644
vib_x_rms,60,operating_regime,High_Vibration__Low_Temperature,XGBoost,447,0.00676305499693138,0.010650945986559003,-7.67948881678959
vib_y_rms,60,vibration_regime,Medium_Vibration,Persistence,2658,0.0014844172310007524,0.00300397812107857,-0.16261288614742853
vib_y_rms,60,vibration_regime,Medium_Vibration,Ridge,2658,0.005126460955070693,0.006921255151009853,-5.171792569811719
vib_y_rms,60,vibration_regime,Medium_Vibration,XGBoost,2658,0.0070188062567298724,0.01531124711812515,-29.20387982343183
vib_y_rms,60,vibration_regime,Low_Vibration,Persistence,3178,0.0015587636878539963,0.004367427758704381,-0.0769433700475759
