sensor,fold,model,mae,rmse,r2,train_rows,validation_rows
vib_x_rms,1,Persistence,0.006787742597898758,0.02149931091941207,-0.9982964639019167,20940,4188
vib_x_rms,1,Ridge,0.011118808002471807,0.022470617232743954,-1.1829351948659097,20940,4188
vib_x_rms,1,XGBoost,0.023055269907345664,0.027036815478815,-2.1602534428015607,20940,4188
vib_x_rms,2,Persistence,0.0015134616364215218,0.0022047808438823502,-0.6884285183517183,25128,4188
vib_x_rms,2,Ridge,0.0055316946974185936,0.006866072983296236,-15.374522945087605,25128,4188
vib_x_rms,2,XGBoost,0.001687596388144085,0.0026271455697343656,-1.397287387321866,25128,4188
vib_x_rms,3,Persistence,0.028759184813753582,0.07226646586707354,-0.8721753531644629,29316,4188
vib_x_rms,3,Ridge,0.026267561151477502,0.061777566671602294,-0.36815243224491234,29316,4188
vib_x_rms,3,XGBoost,0.027824881365402315,0.0634272779164498,-0.44219849296977043,29316,4188
vib_x_rms,4,Persistence,0.038750576528175734,0.09846483387174378,-0.7699648634484835,33504,4188
vib_x_rms,4,Ridge,0.038438854731996236,0.08231513742142453,-0.23697737192470525,33504,4188
vib_x_rms,4,XGBoost,0.035825282011630794,0.0752458317335928,-0.0336350655573634,33504,4188
vib_x_rms,5,Persistence,0.0016719281451420386,0.0034276479976297577,-1.2747185138057433,37692,4189
vib_x_rms,5,Ridge,0.016365784658512825,0.017142986876358474,-55.89946937636771,37692,4189
vib_x_rms,5,XGBoost,0.007858619974276674,0.014164038745569296,-37.84270291649551,37692,4189
vib_y_rms,1,Persistence,0.012534447946513847,0.0356402489962364,-0.8433426265911865,20940,4188
vib_y_rms,1,Ridge,0.01720620429500722,0.03398951396489025,-0.6765423019315313,20940,4188
vib_y_rms,1,XGBoost,0.03889435886070976,0.0448527817005508,-1.9194656652289224,20940,4188
vib_y_rms,2,Persistence,0.0014259035339063992,0.0023749393060409404,-0.8328733856689823,25128,4188
vib_y_rms,2,Ridge,0.006435994505373972,0.00803488702167162,-19.979106304505805,25128,4188
vib_y_rms,2,XGBoost,0.0016611144271480292,0.0027293195648435916,-1.4206734749839773,25128,4188
vib_y_rms,3,Persistence,0.03088962535816619,0.07784601523294742,-0.8944180702653526,29316,4188
vib_y_rms,3,Ridge,0.029796437950878208,0.06897617313555333,-0.48730913418794786,29316,4188
vib_y_rms,3,XGBoost,0.029764365916014928,0.07091272296905633,-0.5719957882082431,29316,4188
vib_y_rms,4,Persistence,0.04879694209646609,0.1287891324340885,-0.7974900625014749,33504,4188
vib_y_rms,4,Ridge,0.04678873343372403,0.10758091543038369,-0.2542338964400541,33504,4188
vib_y_rms,4,XGBoost,0.04190278836201096,0.09650004127050145,-0.009167047273189954,33504,4188
vib_y_rms,5,Persistence,0.001679679398424445,0.004579499754105411,-1.3071008092031189,37692,4189
vib_y_rms,5,Ridge,0.01859454842969275,0.019641034757303395,-41.43842129390699,37692,4189
vib_y_rms,5,XGBoost,0.012645415799842123,0.01782472626157875,-33.95233783819014,37692,4189
vib_z_rms,1,Persistence,0.004337258715377269,0.013784198374408132,-1.0237648871713736,20940,4188
vib_z_rms,1,Ridge,0.005891889303662147,0.012990989169380579,-0.7975520252430854,20940,4188
vib_z_rms,1,XGBoost,0.011491302911662405,0.014766282917245037,-1.3224126988114628,20940,4188
vib_z_rms,2,Persistence,0.001588620900986947,0.0019977799308053905,-0.9881740568456192,25128,4188
vib_z_rms,2,Ridge,0.002859505056235175,0.003544828329835074,-5.259642437917023,25128,4188
vib_z_rms,2,XGBoost,0.0013572485118687001,0.0017796124008372194,-0.5776474406482524,25128,4188
vib_z_rms,3,Persistence,0.009436079035339063,0.022751673609027096,-0.8902910666235189,29316,4188
vib_z_rms,3,Ridge,0.00995276295375642,0.0221911327380543,-0.7982949583446031,29316,4188
vib_z_rms,3,XGBoost,0.01117121395959881,0.023643040859577705,-1.0413085276093295,29316,4188
vib_z_rms,4,Persistence,0.015637574379178606,0.039612808590879754,-0.8367201549139247,33504,4188
vib_z_rms,4,Ridge,0.01482429846039297,0.03466204500469531,-0.4063068248044803,33504,4188
vib_z_rms,4,XGBoost,0.01292579500757404,0.02965734615469475,-0.029523568480855245,33504,4188
vib_z_rms,5,Persistence,0.0016806607782286942,0.002842193578731584,-1.0081462685841789,37692,4189
vib_z_rms,5,Ridge,0.005575094733323947,0.00624399376596471,-8.6919899766691,37692,4189
vib_z_rms,5,XGBoost,0.004435011813234475,0.006681406257366521,-10.097465247898944,37692,4189
mag_x,1,Persistence,153.12596591427888,186.4254763818329,-1.0243987598196758,20940,4188
mag_x,1,Ridge,113.04937448298656,131.18101814640576,-0.002368785892895353,20940,4188
mag_x,1,XGBoost,113.70694952037047,132.6066896397456,-0.024274608145444576,20940,4188
mag_x,2,Persistence,152.3182024860713,185.84455968699552,-0.9823381060728542,25128,4188
mag_x,2,Ridge,114.74410294462893,132.16367843786125,-0.0025412710364938196,25128,4188
mag_x,2,XGBoost,115.62348362195878,133.6526921625825,-0.025258661857095355,25128,4188
mag_x,3,Persistence,153.11490427411655,187.31834707006615,-1.0109847919979336,29316,4188
mag_x,3,Ridge,114.22250506949102,132.23054064173598,-0.002101471412516709,29316,4188
mag_x,3,XGBoost,114.62405171608312,132.7065151357927,-0.009328745732827715,29316,4188
mag_x,4,Persistence,154.7920277340019,189.63480296549298,-1.0110188362507309,33504,4188
mag_x,4,Ridge,116.28547234569879,133.7756369675233,-0.0007695988442071311,33504,4188
mag_x,4,XGBoost,116.60599655766453,134.51271919787592,-0.01182813939366345,33504,4188
mag_x,5,Persistence,152.8791442368107,186.842762580889,-0.9740605419601649,37692,4189
mag_x,5,Ridge,115.58178942708948,133.14314809801763,-0.0024103696644528494,37692,4189
mag_x,5,XGBoost,115.99221113096311,133.99691452971177,-0.015307289684656666,37692,4189
mag_y,1,Persistence,153.29104080420248,186.40668724736085,-0.991286316981461,20940,4188
mag_y,1,Ridge,114.44642720511446,132.21535164240913,-0.0017849467882402603,20940,4188
mag_y,1,XGBoost,115.3601219609543,133.5921989901324,-0.022758105269839124,20940,4188
mag_y,2,Persistence,150.15921165624005,184.22650627346079,-0.9138306545798742,25128,4188
mag_y,2,Ridge,116.25066181074737,133.6907446998486,-0.007864061327114147,25128,4188
mag_y,2,XGBoost,116.42208465621299,134.90266001530264,-0.02621958979526573,25128,4188
mag_y,3,Persistence,152.91461204847184,187.1530368172444,-0.9799810204950092,29316,4188
mag_y,3,Ridge,115.25183308267248,133.27248074298288,-0.0040335700173315114,29316,4188
mag_y,3,XGBoost,115.76510452224082,134.2316284572326,-0.018537417494923103,29316,4188
mag_y,4,Persistence,149.84090668815665,183.9294312690833,-0.9494115483457373,33504,4188
mag_y,4,Ridge,113.80015056364753,131.69693049762472,0.0005699937987379,33504,4188
mag_y,4,XGBoost,114.13563591175098,132.5357359602096,-0.012201709947722739,33504,4188
mag_y,5,Persistence,152.1549007397947,185.84723489782039,-1.0179274949951593,37692,4189
mag_y,5,Ridge,113.02436736157243,131.06089903462194,-0.003551433218065281,37692,4189
mag_y,5,XGBoost,113.47787593683465,132.1168297677591,-0.019787391061928616,37692,4189
mag_z,1,Persistence,154.00674575931234,187.8909064364638,-1.0213522374800954,20940,4188
mag_z,1,Ridge,114.51815222715435,132.2654394114458,-0.0016666964791633987,20940,4188
mag_z,1,XGBoost,115.82385907915541,134.1536530319493,-0.030470308139629587,20940,4188
mag_z,2,Persistence,152.16851532163324,186.67672962193797,-1.0162976447750984,25128,4188
mag_z,2,Ridge,113.82372470677397,131.37140710236903,0.0014358314094173874,25128,4188
mag_z,2,XGBoost,114.84273080264926,133.1774572701093,-0.02620874796993089,25128,4188
mag_z,3,Persistence,150.9430791031519,184.94878657985967,-0.9887034248956366,29316,4188
mag_z,3,Ridge,113.532805709167,131.30338438359453,-0.002348834271137523,29316,4188
mag_z,3,XGBoost,114.12098594955873,132.48985923198794,-0.02054539257259913,29316,4188
mag_z,4,Persistence,153.31710202745938,186.60488097399102,-1.0304913213997136,33504,4188
mag_z,4,Ridge,113.08229348834605,131.2136647513567,-0.00395274090389286,33504,4188
mag_z,4,XGBoost,113.33116584852391,131.70218080641075,-0.011442204973011627,33504,4188
mag_z,5,Persistence,152.8907847806159,186.3389476343872,-0.9841702891344457,37692,4189
mag_z,5,Ridge,114.60134239435988,132.35769650044014,-0.001082952688737704,37692,4189
mag_z,5,XGBoost,115.21090380221149,133.439459781572,-0.017513583274961553,37692,4189
temperature,1,Persistence,0.13547532451050617,0.19524489910425863,0.9451743686189242,20940,4188
temperature,1,Ridge,0.18795170449192994,0.2289988918170299,0.924579221625941,20940,4188
temperature,1,XGBoost,0.5899067994144027,0.7287144682670322,0.23627143667392625,20940,4188
temperature,2,Persistence,0.1815872951102356,0.2837616432561331,0.884804635887636,25128,4188
temperature,2,Ridge,0.2000722334978619,0.2858149795582213,0.8831314666835666,25128,4188
temperature,2,XGBoost,0.592459392680803,0.7093909446558944,0.28005569317165047,25128,4188
temperature,3,Persistence,0.13690362941738288,0.19480710554791747,0.8179558680445208,29316,4188
temperature,3,Ridge,0.1611456668265719,0.20549757696748644,0.7974274906053356,29316,4188
temperature,3,XGBoost,0.42157979366280196,0.5134131385252163,-0.264448232621862,29316,4188
temperature,4,Persistence,0.14515601173829987,0.2177817847232932,0.5223507234831196,33504,4188
temperature,4,Ridge,0.16615405159078125,0.2203027946398636,0.5112283227230204,33504,4188
temperature,4,XGBoost,0.24514443762374913,0.2981367446658909,0.10484749888221245,33504,4188
temperature,5,Persistence,0.024775535182621093,0.05583263724618005,0.9151548843412894,37692,4189
temperature,5,Ridge,0.10231534222019026,0.1107588365055821,0.6661069866896892,37692,4189
temperature,5,XGBoost,0.3871091136174029,0.4580798579265561,-4.711273442155283,37692,4189
