sensor,model,mean_mae,median_mae,mean_rmse,median_rmse,mean_r2,median_r2,rmse_std,r2_std
mag_x,Persistence,153.24604892905586,153.11490427411655,187.2131897370553,186.842762580889,-1.0005602072202717,-1.0109847919979336,1.4582631376725264,0.021334295794227753
mag_x,Ridge,114.77664885397897,114.74410294462892,132.4988044583088,132.23054064173598,-0.0020382993701131397,-0.0023687858928953,0.9957805570659616,0.000727019579211606
mag_x,XGBoost,115.310538509408,115.62348362195878,133.4951061331417,133.6526921625825,-0.0171994889627375,-0.0153072896846566,0.8251274143880801,0.007235122536678169
mag_y,Persistence,151.67213438737315,152.1549007397947,185.51257930099396,185.8472348978204,-0.9704874070794481,-0.9799810204950092,1.393095992202009,0.040085735353763544
mag_y,Ridge,114.55468800475084,114.44642720511446,132.38728132349746,132.21535164240913,-0.0033328035104026195,-0.0035514332180652,1.089498604864989,0.00311042028174621
mag_y,XGBoost,115.03216459759874,115.3601219609543,133.47581063812726,133.5921989901324,-0.01990084271393584,-0.0197873910619286,1.1566411906241696,0.005225872150850548
mag_z,Persistence,152.66524539843454,152.8907847806159,186.49205024932795,186.60488097399104,-1.0082029835369979,-1.0162976447750984,1.0498498749328804,0.020573038253722975
mag_z,Ridge,113.91166370516025,113.82372470677396,131.70231842984123,131.37140710236903,-0.0015230785867027998,-0.0016666964791633,0.559923823556799,0.0019719670823940706
mag_z,XGBoost,114.66592909641975,114.84273080264926,132.99252202440584,133.1774572701093,-0.0212360473860265,-0.0205453925725991,0.935391624174264,0.007420451723162508
temperature,Persistence,0.12477955919180905,0.1369036294173828,0.18948561397555647,0.1952448991042586,0.8170880960750979,0.884804635887636,0.08308617334170118,0.17137647867328087
temperature,Ridge,0.16352779972546702,0.1661540515907812,0.21027461589763669,0.2203027946398636,0.7564946976655105,0.7974274906053356,0.06341080323673806,0.1690342457706946
temperature,XGBoost,0.447239907399832,0.4215797936628019,0.5415470308081181,0.5134131385252163,-0.8709094092098713,0.1048474988822124,0.18042317014753378,2.157479009187039
vib_x_rms,Persistence,0.01549657874427828,0.0067877425978987,0.039572607899948244,0.021499310919412,-0.920716742534465,-0.8721753531644629,0.043493215901064704,0.22933386244433704
vib_x_rms,Ridge,0.01954454064837536,0.0163657846585128,0.03811447623708504,0.0224706172327439,-14.612411464098168,-1.1829351948659097,0.032305714256579625,23.95362612701563
vib_x_rms,XGBoost,0.019250329929359843,0.0230552699073456,0.036500221888832216,0.027036815478815,-8.375215461029214,-1.397287387321866,0.031472746409261926,16.493671299452622
vib_y_rms,Persistence,0.019065319666695318,0.0125344479465138,0.049845967144683714,0.0356402489962364,-0.9350449908460231,-0.8433426265911865,0.05366651661196201,0.21085883754036133
vib_y_rms,Ridge,0.0237643837229352,0.0185945484296927,0.0476445048619604,0.0339895139648902,-12.567122586194467,-0.6765423019315313,0.040580131600687366,18.216780808697635
vib_y_rms,XGBoost,0.02497360867314512,0.0297643659160149,0.04656391835330614,0.0448527817005508,-7.574727962776895,-1.4206734749839771,0.038199547968177296,14.764049672322516
vib_z_rms,Persistence,0.00653603876182206,0.0043372587153772,0.01619773081677032,0.0137841983744081,-0.9494192868277231,-0.9881740568456192,0.015628932722858584,0.0816628735020718
vib_z_rms,Ridge,0.00782071010147408,0.0058918893036621,0.015926597801585958,0.0129909891693805,-3.1907572445956585,-0.7982949583446031,0.012707676952087098,3.665662241291671
vib_z_rms,XGBoost,0.008276114440787661,0.0111712139595988,0.01530553771794422,0.014766282917245,-2.613671496689769,-1.0413085276093297,0.011544538307304569,4.212186426664816
