forecast_id,feature_timestamp,forecast_timestamp,horizon_seconds,sensor,model,current_value,predicted_value,change_from_current,status,severity,alert_type,reason,model_reliability,created_at
1,2026-06-08 00:01:26,2026-06-08 00:02:26,60,vib_x_rms,XGBoost,0.107575,0.1057664304971695,-0.0018085695028305,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1058 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.079321
2,2026-06-08 00:01:26,2026-06-08 00:02:26,60,vib_y_rms,XGBoost,0.153031,0.1362979710102081,-0.0167330289897918,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1363 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.080329
3,2026-06-08 00:01:26,2026-06-08 00:02:26,60,vib_z_rms,XGBoost,0.07271,0.0631382465362548,-0.0095717534637451,NORMAL,INFO,NONE,Predicted vibration 0.0631 is below warning threshold.,MODERATE,2026-09-11 11:16:31.080689
4,2026-06-08 00:01:26,2026-06-08 00:02:26,60,mag_x,Ridge,157.416,232.5547602257189,75.13876022571893,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.080999
5,2026-06-08 00:01:26,2026-06-08 00:02:26,60,mag_y,Ridge,297.654,228.2892264747264,-69.36477352527362,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.081312
6,2026-06-08 00:01:26,2026-06-08 00:02:26,60,mag_z,Ridge,4.928,222.61420083311344,217.68620083311345,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.081663
7,2026-06-08 00:01:26,2026-06-08 00:02:26,60,temperature,Persistence,45.25,45.25,0.0,NORMAL,INFO,NONE,Predicted temperature 45.25 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.081914
8,2026-06-08 00:01:28,2026-06-08 00:02:28,60,vib_x_rms,XGBoost,0.112811,0.1081988289952278,-0.0046121710047721,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1082 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.082154
9,2026-06-08 00:01:28,2026-06-08 00:02:28,60,vib_y_rms,XGBoost,0.13907,0.1348722577095031,-0.0041977422904968,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1349 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.082385
10,2026-06-08 00:01:28,2026-06-08 00:02:28,60,vib_z_rms,XGBoost,0.062509,0.0633393749594688,0.0008303749594688,NORMAL,INFO,NONE,Predicted vibration 0.0633 is below warning threshold.,MODERATE,2026-09-11 11:16:31.082662
11,2026-06-08 00:01:28,2026-06-08 00:02:28,60,mag_x,Ridge,437.108,220.83296975547276,-216.27503024452727,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.082955
12,2026-06-08 00:01:28,2026-06-08 00:02:28,60,mag_y,Ridge,346.402,232.2629401451929,-114.13905985480704,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.083258
13,2026-06-08 00:01:28,2026-06-08 00:02:28,60,mag_z,Ridge,298.858,229.04262337864805,-69.81537662135196,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.083554
14,2026-06-08 00:01:28,2026-06-08 00:02:28,60,temperature,Persistence,45.25,45.25,0.0,NORMAL,INFO,NONE,Predicted temperature 45.25 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.083852
15,2026-06-08 00:01:29,2026-06-08 00:02:29,60,vib_x_rms,XGBoost,0.125232,0.1089151576161384,-0.0163168423838615,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1089 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.084137
16,2026-06-08 00:01:29,2026-06-08 00:02:29,60,vib_y_rms,XGBoost,0.154818,0.1380024850368499,-0.01681551496315,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1380 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.084389
17,2026-06-08 00:01:29,2026-06-08 00:02:29,60,vib_z_rms,XGBoost,0.082712,0.0634815543889999,-0.019230445611,NORMAL,INFO,NONE,Predicted vibration 0.0635 is below warning threshold.,MODERATE,2026-09-11 11:16:31.084608
18,2026-06-08 00:01:29,2026-06-08 00:02:29,60,mag_x,Ridge,147.518,232.42886977425837,84.91086977425834,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.084838
19,2026-06-08 00:01:29,2026-06-08 00:02:29,60,mag_y,Ridge,384.496,230.68905321760047,-153.8069467823995,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.085052
20,2026-06-08 00:01:29,2026-06-08 00:02:29,60,mag_z,Ridge,371.518,226.8928053966717,-144.62519460332828,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.085383
21,2026-06-08 00:01:29,2026-06-08 00:02:29,60,temperature,Persistence,45.25,45.25,0.0,NORMAL,INFO,NONE,Predicted temperature 45.25 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.085665
22,2026-06-08 00:01:31,2026-06-08 00:02:31,60,vib_x_rms,XGBoost,0.126166,0.1074292138218879,-0.018736786178112,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1074 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.085953
23,2026-06-08 00:01:31,2026-06-08 00:02:31,60,vib_y_rms,XGBoost,0.127775,0.1377461105585098,0.0099711105585098,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1377 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.086229
24,2026-06-08 00:01:31,2026-06-08 00:02:31,60,vib_z_rms,XGBoost,0.072664,0.0630990862846374,-0.0095649137153625,NORMAL,INFO,NONE,Predicted vibration 0.0631 is below warning threshold.,MODERATE,2026-09-11 11:16:31.086489
