sensor,horizon_seconds,horizon_minutes,r2
vib_x_rms,60,1.0,-4.257
vib_x_rms,300,5.0,-16.272
vib_x_rms,600,10.0,-101.171
vib_x_rms,1800,30.0,-132.697
vib_x_rms,3600,60.0,-64.384
vib_y_rms,60,1.0,-3.328
vib_y_rms,300,5.0,-10.406
vib_y_rms,600,10.0,-66.076
vib_y_rms,1800,30.0,-78.957
vib_y_rms,3600,60.0,-33.191
vib_z_rms,60,1.0,-1.132
vib_z_rms,300,5.0,-5.763
vib_z_rms,600,10.0,-25.026
vib_z_rms,1800,30.0,-33.614
vib_z_rms,3600,60.0,-20.429
mag_x,60,1.0,-0.0045
mag_x,300,5.0,-0.00282
mag_x,600,10.0,-0.00148
mag_x,1800,30.0,-0.00241
mag_x,3600,60.0,-0.00292
mag_y,60,1.0,-0.00386
mag_y,300,5.0,-0.00062
mag_y,600,10.0,-0.00127
mag_y,1800,30.0,-0.00359
mag_y,3600,60.0,-0.01148
mag_z,60,1.0,-0.00358
mag_z,300,5.0,-0.00386
mag_z,600,10.0,-0.00413
mag_z,1800,30.0,-0.00404
mag_z,3600,60.0,-0.00638
temperature,60,1.0,0.934887
temperature,300,5.0,0.716699
temperature,600,10.0,0.501596
temperature,1800,30.0,-0.120017
temperature,3600,60.0,-0.336376
