sensor,horizon_samples,current_to_future_correlation
vib_x_rms,1,0.801675637068123
vib_x_rms,5,0.787477346850418
vib_x_rms,10,0.7669031971512034
vib_x_rms,30,0.6882260654813198
vib_x_rms,60,0.5881324177694535
vib_y_rms,1,0.9825252479448627
vib_y_rms,5,0.9632457865023569
vib_y_rms,10,0.9390498314207162
vib_y_rms,30,0.8432555274406592
vib_y_rms,60,0.7299303870203893
vib_z_rms,1,0.44423933826069945
vib_z_rms,5,0.4356850746879272
vib_z_rms,10,0.4264980437439813
vib_z_rms,30,0.3918455208942011
vib_z_rms,60,0.3465997367234605
mag_x,1,0.004347495950521818
mag_x,5,-0.003679709294539521
mag_x,10,-0.003652109129069464
mag_x,30,-0.0037364813098824078
mag_x,60,-0.0036531545108973162
mag_y,1,0.0016995806174219192
mag_y,5,-0.007300369275238684
mag_y,10,-0.006467511093531521
mag_y,30,0.007233633326196612
mag_y,60,-0.0003239386910415561
mag_z,1,-0.0029827076452231586
mag_z,5,-0.003734349301226434
mag_z,10,0.003185289220691207
mag_z,30,-0.004476153369173827
mag_z,60,-0.0004940761221657435
temperature,1,0.9999419155964707
temperature,5,0.9996920473341114
temperature,10,0.9993656909351865
temperature,30,0.9980619886133636
temperature,60,0.9958922304390085
