sensor,quantile,original,regularized,relative_change_percent
vib_x_rms,0.9,0.09523499999999997,0.0949712,-0.2769990024675455
vib_x_rms,0.95,0.12648759999999967,0.12610939999999995,-0.2990016412673801
vib_x_rms,0.99,0.34138857999999955,0.34129312000000195,-0.027962271027813762
vib_x_rms,0.995,0.4839285999999999,0.4860120000000002,0.43051805576284324
vib_x_rms,0.999,0.5811888879999992,0.5773639179999992,-0.6581285497667746
vib_y_rms,0.9,0.119444,0.11903500000000002,-0.3424198787716242
vib_y_rms,0.95,0.147849,0.14761119999999997,-0.16083977571714247
vib_y_rms,0.99,0.42977885999999593,0.4291952000000023,-0.1358047252472267
vib_y_rms,0.995,0.6336285399999995,0.6339435900000006,0.04972156083769425
vib_y_rms,0.999,0.727916257999998,0.726904403999999,-0.1390069240628278
vib_z_rms,0.9,0.0546066,0.054523,-0.15309504711883945
vib_z_rms,0.95,0.06386969999999996,0.06383459999999998,-0.05495563624063114
vib_z_rms,0.99,0.16242575999999967,0.16267476000000058,0.15330080647362565
vib_z_rms,0.995,0.25281654,0.2537760200000003,0.3795163085454558
vib_z_rms,0.999,0.2951874039999999,0.2952265239999991,0.013252598000159401
